거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"25,000",1990,2010,43.37,명일동,현대하이츠,1,2,46.71,263-2,11740,2
"16,500",1988,2010,28.27,명일동,삼원랙스빌라(B동),1,7,36.34,336-16,11740,1
"16,500",1988,2010,34.68,명일동,삼경주택,1,15,42.6,352-24,11740,2
"17,200",2009,2010,19.5,명일동,거화리치빌,1,26,32.11,343-8,11740,5
"35,500",1986,2010,34.69,고덕동,(631-4),1,5,45.09,631-4,11740,1
"26,700",1986,2010,33.17,상일동,뉴현대주택(335-5),1,19,49.41,335-5,11740,1
"72,000",1999,2010,112.48,상일동,삼성그린빌라(180-3),1,21,149.19,180-3,11740,1
"105,000",1989,2010,180.57,상일동,상일우성타운1,1,28,161.78,174,11740,1
"36,500",1996,2010,59.98,길동,동심빌라,1,4,135.76,346-5,11740,1
"26,600",2009,2010,31.599,길동,아뜰리에빌,1,4,54.08,361-13,11740,3
"20,000",2001,2010,30.56,길동,혜성빌라,1,6,74.33,392-7,11740,5
"22,900",2002,2010,44.94,길동,에덴빌라,1,10,75.25,352-10,11740,5
"25,500",2001,2010,26.77,길동,신성비발디,1,15,69.8,151-5,11740,3
"24,500",2001,2010,24.92,길동,신성비발디,1,15,65,151-5,11740,4
"25,500",2001,2010,26.77,길동,신성비발디,1,15,69.8,151-5,11740,4
"24,500",2001,2010,24.92,길동,신성비발디,1,15,65,151-5,11740,3
"24,500",2001,2010,24.92,길동,신성비발디,1,15,65,151-5,11740,2
"25,500",2001,2010,26.77,길동,신성비발디,1,15,69.8,151-5,11740,2
"29,500",1993,2010,53.4,길동,대한아트빌라,1,19,99.7,363-1,11740,2
"23,000",2009,2010,30.46,길동,아뜨리에빌 C동,1,19,54.34,361-3,11740,5
"23,800",2009,2010,31.86,길동,아뜨리에빌 C동,1,22,56.84,361-3,11740,4
"22,000",2008,2010,30.47,길동,뉴삼성빌,1,24,45.72,357-9,11740,4
"14,000",1986,2010,27.08,길동,삼호빌라(A동),1,26,39.9,380-17,11740,2
"20,000",2003,2010,23.45,길동,삼성그린빌리지,1,27,50.13,364-17,11740,3
"19,300",2002,2010,26.86,길동,삼성맨션(B동),1,29,67.58,351-5,11740,5
"34,500",2001,2010,46.08,길동,신성비발디,1,29,120.2,151-5,11740,5
"20,300",2002,2010,28.1,길동,동원그린빌라3차,1,30,61.18,354-4,11740,3
"24,500",1991,2010,49.95,둔촌동,현대하이츠빌라,1,3,70.61,84-1,11740,2
"13,000",1986,2010,36.39,둔촌동,상신주택,1,4,50.16,61-6,11740,-1
"25,800",2003,2010,46.31,둔촌동,목화하이츠,1,7,78.28,46-2,11740,2
"22,700",2003,2010,33.94,둔촌동,목화하이츠,1,30,57.37,46-2,11740,4
"25,300",2003,2010,31.18,암사동,효성빌라3차,1,2,60.17,422-10,11740,5
"16,000",2002,2010,21,암사동,암사하이빌,1,8,38.04,489-16,11740,4
"20,300",2009,2010,22.41,암사동,로뎀,1,12,45.1,487-3,11740,4
"24,500",2009,2010,29.592,암사동,그랑밸리(475-48),1,13,53.04,475-48,11740,4
"18,650",2003,2010,21.08,암사동,우주맨션(451-22),1,13,44.52,451-22,11740,2
"18,900",2008,2010,23.87,암사동,한울글로리,1,16,41.07,482-3,11740,4
"19,500",2009,2010,22.3,암사동,로뎀,1,17,44.34,487-3,11740,5
"21,000",2008,2010,26.1,암사동,현진빌리지(474-16),1,21,45.28,474-16,11740,4
"17,800",2003,2010,25.15,암사동,모던아트빌,1,21,44.07,462-13,11740,4
"9,563",2009,2010,10.85,암사동,현진빌리지(464-8),1,22,17.94,464-8,11740,3
"9,563",2009,2010,10.67,암사동,현진빌리지(464-8),1,22,17.64,464-8,11740,4
"9,563",2009,2010,10.58,암사동,현진빌리지(464-8),1,22,17.49,464-8,11740,5
"9,563",2009,2010,11.3,암사동,현진빌리지(464-8),1,22,18.68,464-8,11740,4
"9,563",2009,2010,10.67,암사동,현진빌리지(464-8),1,22,17.64,464-8,11740,5
"9,563",2009,2010,8.21,암사동,현진빌리지(464-8),1,22,19.63,464-8,11740,5
"9,563",2009,2010,10.67,암사동,현진빌리지(464-8),1,22,17.64,464-8,11740,3
"9,563",2009,2010,11.3,암사동,현진빌리지(464-8),1,22,18.68,464-8,11740,3
"9,563",2009,2010,10.85,암사동,현진빌리지(464-8),1,22,17.94,464-8,11740,2
"9,563",2009,2010,10.67,암사동,현진빌리지(464-8),1,22,17.64,464-8,11740,2
"9,563",2009,2010,11.3,암사동,현진빌리지(464-8),1,22,18.68,464-8,11740,2
"9,563",2009,2010,11.24,암사동,현진빌리지(464-8),1,22,18.58,464-8,11740,2
"9,563",2009,2010,8.06,암사동,현진빌리지(464-8),1,22,19.36,464-8,11740,5
"9,563",2009,2010,11.24,암사동,현진빌리지(464-8),1,22,18.58,464-8,11740,4
"9,563",2009,2010,10.85,암사동,현진빌리지(464-8),1,22,17.94,464-8,11740,4
"9,563",2009,2010,11.24,암사동,현진빌리지(464-8),1,22,18.58,464-8,11740,3
"24,700",2009,2010,33.05,암사동,한솔아트빌3차,1,29,58.11,489-67,11740,3
"18,600",2002,2010,38.03,성내동,그리미아빌,1,4,75.59,466-2,11740,4
"5,000",1992,2010,9.72,성내동,궁보빌리지,1,6,21.2,537-6,11740,-1
"20,800",2002,2010,25.68,성내동,다원빌라트,1,8,45.29,133-7,11740,4
"18,000",2003,2010,23.79,성내동,만성빌라,1,9,43.94,523-15,11740,2
"7,900",2003,2010,10.53,성내동,만성빌라,1,9,24.78,523-15,11740,4
"37,200",2003,2010,20.51,성내동,만성빌라,1,9,54,523-15,11740,4
"8,800",2003,2010,11.63,성내동,만성빌라,1,9,43.24,523-15,11740,2
"8,800",2003,2010,11.63,성내동,만성빌라,1,9,21.48,523-15,11740,4
"8,600",2003,2010,11.32,성내동,만성빌라,1,9,20.9,523-15,11740,3
"8,900",2003,2010,11.63,성내동,만성빌라,1,9,21.48,523-15,11740,3
"18,300",2003,2010,23.79,성내동,만성빌라,1,9,43.94,523-15,11740,3
"8,500",2003,2010,11.32,성내동,만성빌라,1,9,20.9,523-15,11740,2
"10,000",1997,2010,21.09,성내동,그린빌라(511-2),1,13,42.88,511-2,11740,-1
"21,700",2002,2010,25.59,성내동,다솔아트빌,1,16,54.6,421-11,11740,2
"17,250",1986,2010,32.48,성내동,대진(444-7),1,16,41.7,444-7,11740,2
"29,000",2008,2010,36.31,성내동,(208-2),1,17,61.52,208-2,11740,5
"26,500",2002,2010,40,성내동,엘림,1,17,72.12,423-25,11740,4
"19,000",1991,2010,29.25,성내동,성일빌리지,1,20,52.02,532-8,11740,2
"28,000",2006,2010,42.22,성내동,네이쳐하우스,1,20,76.22,386-34,11740,4
"25,000",1996,2010,42.31,성내동,현대하이츠,1,21,82.1,528,11740,2
"27,000",2003,2010,33.9,성내동,동서빌라(7),1,22,65.32,396-15,11740,3
"24,000",2002,2010,35.42,성내동,건양월드빌(515-4),1,23,61.81,515-4,11740,3
"31,500",2009,2010,39.66,성내동,거화리치빌,1,23,70.25,504-4,11740,5
"24,000",2002,2010,29.78,성내동,대영그린빌라,1,23,63.37,436-35,11740,4
"18,000",2002,2010,21.06,성내동,부흥아트빌,1,25,41.84,384-23,11740,5
"32,000",2009,2010,39.91,성내동,거화리치빌,1,26,70.7,504-4,11740,3
"24,300",2002,2010,30.87,성내동,프라임플러스빌,1,27,52.71,131-16,11740,3
"20,300",1994,2010,30.38,성내동,회림빌라,1,27,60.3,502-8,11740,2
"17,920",2004,2010,21.79,성내동,청송아름채,1,27,44.91,388-16,11740,3
"12,000",2003,2010,10.48,성내동,삼정네오빌(465-20),1,28,20.22,465-20,11740,3
"25,000",2002,2010,38.03,성내동,그리미아빌,1,29,75.59,466-2,11740,5
"5,600",1998,2010,8.6,성내동,토바빌딩,1,29,25.92,38-21,11740,5
"19,500",2002,2010,24.59,성내동,부흥아트빌,1,30,48.84,384-23,11740,4
"46,000",2007,2010,66.5,천호동,(85-14),1,4,84.38,85-14,11740,3
"34,500",2008,2010,36.58,천호동,(84-27),1,6,36.35,84-27,11740,3
"34,500",2008,2010,36.58,천호동,(84-27),1,6,36.35,84-27,11740,2
"32,000",2008,2010,33.79,천호동,(84-27),1,6,32.64,84-27,11740,3
"32,000",2008,2010,33.79,천호동,(84-27),1,6,32.64,84-27,11740,2
"22,000",2008,2010,23.28,천호동,(84-27),1,6,33.9,84-27,11740,1
"49,000",2003,2010,37.28,천호동,정수아트빌,1,8,77.43,337-11,11740,3
"49,000",2003,2010,37.17,천호동,정수아트빌,1,8,77.19,337-11,11740,4
"41,500",1986,2010,29.88,천호동,(337-48),1,8,43.15,337-48,11740,-1
"40,000",1986,2010,25.12,천호동,(337-2),1,8,37.08,337-2,11740,2
"41,500",1990,2010,31.11,천호동,한강빌라나동,1,9,40.53,338-34,11740,-1
"36,000",2007,2010,40.12,천호동,(85-14),1,13,32.71,85-14,11740,5
"45,000",2007,2010,49.88,천호동,(85-14),1,13,48.11,85-14,11740,4
"5,500",1993,2010,26.72,천호동,(173-9),1,14,33.87,173-9,11740,1
"45,000",2003,2010,33.7,천호동,삼성빌리지,1,15,68.97,333-35,11740,5
"27,500",2003,2010,35,천호동,삼유스위트빌(C동),1,16,72.41,219-13,11740,4
"24,800",2009,2010,34.86,천호동,그레이스빌,1,16,60.36,26-19,11740,2
"22,500",1997,2010,30.7,천호동,다성타운A동,1,17,52.02,53-13,11740,2
"46,000",2003,2010,40.16,천호동,현대파크빌,1,17,71.79,338-2,11740,1
"16,000",2007,2010,22.72,천호동,(214-42),1,22,57.03,214-42,11740,4
"16,000",2003,2010,26.55,천호동,삼우아트빌라,1,28,44.76,49-20,11740,2
"26,000",2001,2010,41.33,명일동,삼형아트빌5차,2,6,75.36,312-146,11740,3
"17,800",1988,2010,34.68,명일동,삼경주택,2,12,42.6,352-24,11740,2
"33,000",1986,2010,37.95,명일동,(242-0),2,16,53.48,242,11740,-1
"27,500",1996,2010,27.42,명일동,진양그린빌리지,2,17,84.2,312-182,11740,4
"28,000",2004,2010,48.36,명일동,삼보아트빌,2,17,84.86,312-236,11740,2
"20,000",2004,2010,35.6,명일동,삼보아트빌,2,17,62.46,312-236,11740,5
"28,000",2004,2010,47.67,명일동,삼보아트빌,2,17,83.65,312-236,11740,3
"21,000",2004,2010,41.24,명일동,삼보아트빌,2,18,72.37,312-236,11740,4
"22,000",2004,2010,29.43,명일동,삼보아트빌,2,20,51.63,312-236,11740,4
"17,500",2009,2010,19.5,명일동,거화리치빌,2,23,32.11,343-8,11740,5
"19,000",2004,2010,25.67,명일동,삼보아트빌,2,26,45.05,312-236,11740,5
"30,000",2004,2010,48.36,명일동,삼보아트빌,2,26,84.86,312-236,11740,3
"26,300",1990,2010,43.37,명일동,현대하이츠,2,26,46.71,263-2,11740,3
"29,000",1987,2010,22.75,고덕동,(233-11),2,3,37.485,233-11,11740,2
"23,700",1986,2010,23.29,고덕동,삼도빌라,2,24,41.14,165-3,11740,1
"18,000",1991,2010,26.3,길동,궁보아트빌라,2,1,59.56,354-6,11740,2
"18,000",1990,2010,35.93,길동,뉴현대주택(나동),2,3,40.24,46-4,11740,1
"23,500",2003,2010,39.62,길동,보람홈타운13차(103동),2,7,80.44,382-11,11740,1
"26,500",2009,2010,31.17,길동,아뜨리에빌 C동,2,8,55.61,361-3,11740,5
"28,000",2009,2010,29.887,길동,엠엑스아뜨리에빌아파트,2,8,52.14,361-14,11740,5
"18,000",1990,2010,23.71,길동,원앙빌라,2,9,54.36,329-12,11740,3
"15,000",1986,2010,29.93,길동,정민연립(E동),2,10,37.08,395-23,11740,1
"27,700",2004,2010,45.03,길동,삼성햇님빌라,2,18,74.4,399-10,11740,3
"20,000",2001,2010,29.76,길동,대명하이츠,2,19,60.41,402-12,11740,2
"19,400",2001,2010,21.08,길동,혜성빌라,2,20,42.47,392-7,11740,2
"23,250",2002,2010,34.104,길동,마이굿하우스,2,22,65.93,401-3,11740,3
"20,500",2002,2010,26.9,길동,삼성맨션(A동),2,25,67.58,351-10,11740,5
"25,000",1995,2010,47.71,길동,태양빌라,2,25,90.41,357-12,11740,1
"27,000",2003,2010,52.82,둔촌동,동서빌라,2,1,80.22,470-5,11740,4
"15,000",1992,2010,24.44,둔촌동,롯데아트빌라,2,1,44.24,492-2,11740,1
"22,950",1992,2010,38.33,둔촌동,리라아트빌라,2,5,47.62,614-2,11740,3
"22,700",2002,2010,32.53,둔촌동,성경빌라3차,2,6,54.54,39-12,11740,4
"18,800",2001,2010,23.26,암사동,암사빌라트,2,1,54.13,472-2,11740,2
"24,000",2004,2010,39.13,암사동,은혜빌,2,1,61.24,476-15,11740,3
"24,500",2001,2010,43.99,암사동,파크빌,2,5,81.77,453-21,11740,2
"25,000",2002,2010,31.79,암사동,암사하이빌,2,6,57.58,489-16,11740,1
"19,500",2008,2010,25,암사동,(422-17),2,11,43.16,422-17,11740,4
"19,800",2002,2010,24.11,암사동,효광주택,2,12,50.71,454-2,11740,5
"21,500",2007,2010,32.66,암사동,(485-5),2,19,72.52,485-5,11740,4
"20,700",2009,2010,22.04,암사동,로뎀,2,20,38.54,487-3,11740,5
"14,600",1991,2010,21.99,암사동,미성빌라,2,22,33.57,460-10,11740,1
"25,000",2009,2010,29.592,암사동,그랑밸리(475-48),2,26,53.04,475-48,11740,3
"16,500",2007,2010,21.73,암사동,유하우스,2,26,36.77,490-63,11740,2
"16,500",1987,2010,49.5,암사동,(484-26),2,27,34.3,484-26,11740,-1
"22,500",2008,2010,26.13,성내동,(208-2),2,4,44.27,208-2,11740,2
"23,500",2004,2010,29.08,성내동,한주주택,2,6,63.36,526,11740,2
"13,500",1992,2010,15.59,성내동,동원빌라,2,9,32.03,423-44,11740,4
"20,420",1994,2010,23.05,성내동,그린빌리지,2,9,48.57,212-2,11740,2
"22,000",2001,2010,30.16,성내동,동부하이츠(411-12),2,10,63.96,411-12,11740,2
"17,000",2008,2010,22.43,성내동,(219-31),2,11,39.7,219-31,11740,4
"9,400",1991,2010,17.77,성내동,(386-33),2,11,40.84,386-33,11740,-1
"15,000",1993,2010,16.26,성내동,동일미주빌라(448-31),2,17,33.92,448-31,11740,3
"39,000",1982,2010,93.8,성내동,연희,2,17,83.12,443-27,11740,2
"23,700",2002,2010,29.51,성내동,뉴삼성빌(505),2,17,64.76,505,11740,3
"23,800",2002,2010,37.46,성내동,삼선빌,2,19,71.76,410-22,11740,5
"17,000",1986,2010,37.55,성내동,삼보타운빌라,2,19,48.39,504-2,11740,3
"25,450",2003,2010,30.72,성내동,예건네스빌A동,2,20,66.64,517-2,11740,3
"20,000",2005,2010,30.32,성내동,가원홈아트2동,2,21,53.55,538-2,11740,5
"21,200",2003,2010,23.75,성내동,동서빌라(7),2,22,45.76,396-15,11740,5
"26,500",1991,2010,64.44,성내동,태양,2,24,69.42,386-14,11740,3
"20,900",2008,2010,26.51,성내동,(219-31),2,24,46.9,219-31,11740,3
"28,600",1991,2010,64.44,성내동,태양,2,25,67.17,386-14,11740,1
"13,000",1990,2010,34.15,성내동,대영빌라,2,27,36.72,427-71,11740,-1
"23,900",1988,2010,42.32,성내동,코끼리,2,27,41.46,123-6,11740,1
"27,500",2006,2010,42.22,성내동,네이쳐하우스,2,28,76.22,386-34,11740,2
"15,200",2002,2010,17.76,천호동,퍼브릭하우스,2,2,44.04,311-32,11740,2
"22,200",2002,2010,29.8,천호동,화이트빌라A동,2,4,55.63,32-18,11740,2
"22,200",2002,2010,28.52,천호동,화이트빌라B동,2,6,55.63,32-20,11740,2
"23,700",2002,2010,39.28,천호동,동서주택,2,6,74.89,28-7,11740,1
"20,350",2003,2010,24.66,천호동,삼성아트빌,2,6,52.92,27-3,11740,2
"17,750",2007,2010,16.38,천호동,한빛주택,2,7,26.67,394-2,11740,5
"30,000",1992,2010,17.42,천호동,(337-92),2,9,37.92,337-92,11740,2
"27,000",2003,2010,31.74,천호동,한강쉐르빌,2,9,59.92,326-6,11740,5
"40,000",2003,2010,20.69,천호동,(337-36),2,10,42.63,337-36,11740,4
"22,000",1994,2010,27.81,천호동,다성그린맨션,2,10,59.74,318-32,11740,1
"27,000",2007,2010,36.36,천호동,(195-50),2,11,63.74,195-50,11740,5
"26,000",2002,2010,39.78,천호동,로얄빌(314-22),2,11,70.97,314-22,11740,1
"22,400",1998,2010,31.37,천호동,다성월드타운A동,2,11,57.64,53-31,11740,2
"34,800",1991,2010,47.86,천호동,홍진맨숀B,2,16,69.39,318-8,11740,4
"25,000",2003,2010,38.99,천호동,현대하니빌,2,17,62.29,52-27,11740,5
"40,000",2003,2010,24.26,천호동,유진빌라,2,19,51.51,330,11740,5
"37,700",2002,2010,36.1,천호동,동광빌라,2,24,68.8,363-3,11740,2
"16,200",2002,2010,25.12,천호동,테라칸하우스2차,2,25,36.66,46-20,11740,2
"24,200",2003,2010,29.01,명일동,명일센트로빌,3,2,66.07,327-1,11740,4
"21,800",1991,2010,33.47,명일동,대진아트빌라,3,6,60.76,352-15,11740,2
"44,600",2003,2010,43.38,명일동,명일센트로빌,3,16,98.76,327-1,11740,4
"29,300",2003,2010,42.72,명일동,강동하이츠빌,3,25,71.36,342-3,11740,4
"25,000",2002,2010,30.06,명일동,삼성빌(312-190),3,26,63.69,312-190,11740,3
"23,250",1990,2010,48.88,명일동,현대하이츠,3,31,52.71,263-2,11740,2
"34,000",1986,2010,32.25,고덕동,(642-4),3,3,54.99,642-4,11740,1
"31,000",1986,2010,31.8,고덕동,(162-4),3,3,53.29,162-4,11740,1
"31,500",1986,2010,33,고덕동,현경빌라,3,8,49.74,542-5,11740,1
"33,000",1986,2010,29.19,고덕동,(250-1),3,15,41.56,250-1,11740,1
"26,000",1986,2010,25.61,고덕동,(165-8),3,15,43.68,165-8,11740,1
"60,000",1988,2010,103.08,상일동,상일삼성빌라,3,23,84.94,173,11740,2
"65,500",1986,2010,107.53,상일동,현대빌라,3,26,94.965,172,11740,2
"20,400",2002,2010,26.86,길동,삼성맨션(B동),3,1,67.58,351-5,11740,5
"26,000",2002,2010,45.42,길동,에덴빌라,3,4,76.05,352-10,11740,3
"15,300",2002,2010,20.12,길동,삼성월드빌,3,8,32.8,379-2,11740,2
"17,950",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,2
"17,650",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,4
"19,800",2009,2010,27.59,길동,블루빌,3,9,46.54,338-14,11740,5
"15,000",1994,2010,24.3,길동,거성아트맨션2차,3,9,49.98,342-44,11740,2
"18,500",1990,2010,23.71,길동,원앙빌라,3,9,54.36,329-12,11740,1
"17,650",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,4
"17,950",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,3
"17,950",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,3
"17,950",2009,2010,23.74,길동,블루빌,3,9,40.04,338-14,11740,2
"9,900",2009,2010,12.32,길동,로뎀하우스,3,11,20.38,374-13,11740,3
"8,900",2009,2010,11.28,길동,로뎀하우스,3,11,18.67,374-13,11740,2
"9,900",2009,2010,12.32,길동,로뎀하우스,3,11,20.38,374-13,11740,2
"22,300",1987,2010,56,길동,삼성빌라,3,11,65.34,172-3,11740,1
"18,000",1990,2010,37.04,길동,뉴현대주택(나동),3,11,41.64,46-4,11740,2
"12,600",2009,2010,15.78,길동,로뎀하우스,3,11,26.1,374-13,11740,3
"13,500",2009,2010,17.71,길동,로뎀하우스,3,11,29.31,374-13,11740,5
"13,300",2009,2010,17.5,길동,로뎀하우스,3,11,28.95,374-13,11740,5
"8,900",2009,2010,11.28,길동,로뎀하우스,3,11,18.67,374-13,11740,3
"11,300",2009,2010,14.09,길동,로뎀하우스,3,11,23.32,374-13,11740,2
"12,600",2009,2010,15.78,길동,로뎀하우스,3,11,26.1,374-13,11740,2
"15,000",1993,2010,30.76,길동,우성빌라,3,11,56.67,374-2,11740,4
"29,800",2009,2010,35.9648,길동,로뎀하우스,3,11,81.38,374-13,11740,4
"11,300",2009,2010,14.09,길동,로뎀하우스,3,11,23.32,374-13,11740,3
"15,000",1986,2010,27.22,길동,삼호빌라(B동),3,16,39.9,380-16,11740,1
"18,230",1986,2010,32.77,길동,유정빌라(7동),3,16,49.92,375-2,11740,2
"18,700",1992,2010,37.26,길동,크로바빌라,3,17,59.73,351-6,11740,3
"21,000",2003,2010,23.157,길동,미르빌,3,18,50.48,377-1,11740,3
"13,500",1991,2010,29.9,길동,그린타운(3동),3,18,62.49,357-3,11740,-1
"22,500",2002,2010,26.9,길동,삼성맨션(A동),3,19,67.58,351-10,11740,5
"21,500",2007,2010,29.5,길동,"송강하이츠(다,라)",3,20,59.79,392-9,11740,2
"29,000",1994,2010,52.39,길동,대흥빌라,3,22,87.3,345-4,11740,3
"11,000",1986,2010,27.53,길동,길동주택(A동),3,23,41.12,103-8,11740,-1
"25,250",1986,2010,64.716,길동,동성빌라(2동),3,23,92.44,393-14,11740,2
"27,000",2002,2010,46.11,길동,삼성타운(A동),3,24,75.7,410-8,11740,2
"23,000",2003,2010,36.1,길동,그린아트빌,3,27,62.56,405-10,11740,5
"21,000",2009,2010,25.59,길동,한신타운,3,29,44.63,77,11740,2
"27,000",2003,2010,41.338,길동,이레빌,3,30,75.96,352-2,11740,4
"21,800",2002,2010,31.95,둔촌동,자이빌라,3,8,67.53,61-15,11740,5
"17,800",2002,2010,19.32,둔촌동,대원아트빌,3,23,39.21,445-1,11740,3
"7,700",1992,2010,23.73,둔촌동,부전빌라,3,25,30.96,71,11740,-1
"20,800",1981,2010,57.7,둔촌동,(52-11),3,29,65.19,52-11,11740,1
"23,000",2003,2010,25.57,암사동,한성시티빌,3,1,60.11,470,11740,1
"16,000",1994,2010,24.18,암사동,거성빌라,3,2,45,455-37,11740,-1
"25,000",2009,2010,29.592,암사동,그랑밸리(475-48),3,5,53.04,475-48,11740,2
"24,500",2009,2010,27.23,암사동,로뎀,3,5,47.61,487-3,11740,4
"22,000",2006,2010,34.15,암사동,일호홈타운,3,8,61.68,478-75,11740,3
"5,000",1990,2010,27.86,암사동,진산빌라,3,15,36.72,482-47,11740,-1
"23,000",2008,2010,33.258,암사동,한솔아트빌2차,3,15,58.68,489-65,11740,2
"23,000",2008,2010,34.041,암사동,한솔아트빌2차,3,15,60.06,489-65,11740,2
"23,000",2008,2010,33.85,암사동,한솔아트빌2차,3,15,59.72,489-65,11740,2
"23,000",2008,2010,33.258,암사동,한솔아트빌2차,3,15,58.68,489-65,11740,3
"24,000",2008,2010,34.041,암사동,한솔아트빌2차,3,15,60.06,489-65,11740,3
"24,000",2008,2010,33.85,암사동,한솔아트빌2차,3,15,59.72,489-65,11740,3
"24,400",2008,2010,34.21,암사동,한솔아트빌2차,3,15,60.36,489-65,11740,4
"24,000",2008,2010,34.334,암사동,한솔아트빌2차,3,15,60.58,489-65,11740,4
"23,100",2008,2010,34.179,암사동,한솔아트빌2차,3,15,60.3,489-65,11740,5
"20,000",2008,2010,34.479,암사동,한솔아트빌2차,3,15,60.84,489-65,11740,5
"25,500",2001,2010,42.62,암사동,파크빌,3,18,79.23,453-21,11740,4
"18,300",1992,2010,23.07,성내동,덕현빌라(510-8),3,3,44.92,510-8,11740,3
"26,500",1993,2010,44.59,성내동,훼미리빌라,3,3,70.45,382-4,11740,3
"19,500",2003,2010,24.43,성내동,메이저빌라트(466-20),3,4,51.03,466-20,11740,2
"44,700",1984,2010,90.01,성내동,삼천리빌라(443-1),3,6,86.43,443-1,11740,3
"25,000",1988,2010,52.92,성내동,진양빌라,3,9,75.79,443-7,11740,3
"20,300",1986,2010,38.63,성내동,동방빌라,3,13,54.9,411-14,11740,1
"18,000",1992,2010,26.07,성내동,덕현빌라(510-8),3,17,50.76,510-8,11740,2
"46,000",1983,2010,88.2,성내동,삼천리빌라(443-31),3,18,83.27,443-31,11740,3
"7,150",1986,2010,34.53,성내동,신성주택(544-2),3,19,50.86,544-2,11740,-1
"25,000",2002,2010,32.26,성내동,삼유스위트빌,3,24,71.11,465-4,11740,2
"18,500",2002,2010,22.91,성내동,예원아트빌,3,24,38.69,245-19,11740,4
"21,850",1994,2010,25.57,성내동,씨피빌라(560-3),3,24,59.36,560-3,11740,1
"16,800",1987,2010,26.2,성내동,우성빌라,3,25,41.25,517-16,11740,3
"22,000",2002,2010,41,성내동,미성리치빌,3,26,70.61,381-18,11740,1
"30,000",1983,2010,77.22,성내동,광신,3,27,77.15,120-86,11740,2
"31,000",2002,2010,46.24,성내동,골드하이츠빌,3,29,75.97,462,11740,1
"24,500",2002,2010,35.2,천호동,천사하이빌,3,1,84.96,303-32,11740,1
"13,000",2003,2010,17.19,천호동,희망빌라,3,2,22.92,553-2,11740,5
"16,500",2002,2010,17.4,천호동,명성빌라,3,6,45.18,49-26,11740,3
"35,000",1987,2010,57.19,천호동,동도하이츠빌라,3,8,59.49,320,11740,2
"22,300",1998,2010,30.64,천호동,대경하이츠빌라,3,10,59.14,22-12,11740,4
"6,000",1991,2010,19.63,천호동,(195-13),3,11,38.78,195-13,11740,-1
"36,400",2001,2010,23.75,천호동,(332-5),3,13,60.76,332-5,11740,3
"26,500",1998,2010,39.57,천호동,청아맨션,3,13,81.61,327-5,11740,3
"27,500",2007,2010,36.37,천호동,(195-50),3,13,65.55,195-50,11740,2
"36,900",2001,2010,23.61,천호동,(332-5),3,15,60.4,332-5,11740,3
"26,500",2001,2010,35.31,천호동,성원그린빌,3,15,47.59,215,11740,3
"28,700",1986,2010,27.66,천호동,(465-26),3,22,40.66,465-26,11740,-1
"33,000",1985,2010,74.16,천호동,진호빌라,3,23,101.434,121-32,11740,2
"24,800",2003,2010,42.33,천호동,서림아이리스빌라트3,3,27,75.48,45-5,11740,3
"36,400",2001,2010,23.61,천호동,(332-5),3,28,60.4,332-5,11740,2
"18,500",2009,2010,21.35,명일동,거화리치빌,4,1,35.19,343-8,11740,2
"18,000",2009,2010,21.35,명일동,거화리치빌,4,9,35.19,343-8,11740,4
"34,300",1987,2010,36.26,고덕동,(200-0),4,10,47.05,200,11740,1
"32,000",1986,2010,34.22,고덕동,(523-0),4,20,50.34,523,11740,1
"75,000",1986,2010,135.37,상일동,현대빌라,4,12,122.025,172,11740,3
"80,000",1987,2010,129.81,상일동,효성빌라,4,17,116.61,176,11740,2
"21,700",2003,2010,35.91,길동,보람홈타운13차(104동),4,1,70.36,382-12,11740,1
"27,100",2002,2010,46.44,길동,문성하이츠빌,4,5,74.86,396-14,11740,2
"22,500",1991,2010,29.994,길동,삼익파크빌라,4,6,60.57,46,11740,1
"16,700",2003,2010,17.95,길동,삼성그린빌리지,4,7,38.38,364-17,11740,2
"25,900",1998,2010,48.2,길동,성지빌라트,4,7,82.62,381-3,11740,2
"25,300",2010,2010,30.09,길동,그린파크빌,4,10,50.53,347-6,11740,3
"8,400",1986,2010,19.3,길동,유정빌라(3동),4,12,30.24,375-19,11740,-1
"13,000",1995,2010,17.42,길동,장미하이츠빌라,4,13,29.64,356-7,11740,4
"22,900",2004,2010,31.21,길동,미림세르빌,4,13,58.86,106-9,11740,4
"16,000",2010,2010,16.37,길동,(354-3),4,14,27.72,354-3,11740,4
"15,500",2010,2010,16.37,길동,(354-3),4,15,27.72,354-3,11740,5
"16,000",2010,2010,16.37,길동,(354-3),4,15,27.72,354-3,11740,3
"15,400",2010,2010,16.37,길동,(354-3),4,15,27.72,354-3,11740,2
"23,700",1996,2010,36.31,길동,세일스위트빌라(가동),4,15,69.38,323-16,11740,3
"20,500",1993,2010,32.23,길동,우성빌라,4,17,60.79,374-2,11740,1
"24,400",2010,2010,30.09,길동,그린파크빌,4,20,50.53,347-6,11740,4
