거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"18,000",1992,2010,33,영등포동,일산로얄빌라7동(573-17),1,13,49.14,573-17,11560,-1
"18,000",1991,2010,32,영등포동,일산로얄빌라4동,1,14,46.76,573-20,11560,1
"40,700",2009,2010,36.36,당산동6가,당산타워빌,1,2,60,110-66,11560,4
"37,500",2008,2010,33.058,당산동6가,스카이빌,1,5,62.34,237-15,11560,4
"22,000",2003,2010,48,도림동,고려로얄타운 라동(234-6),1,4,56.26,234-6,11560,5
"25,000",1985,2010,73.22,도림동,무림빌라(30-0),1,4,81.61,30,11560,1
"26,000",2008,2010,45.93,도림동,(22-2),1,5,81.02,22-2,11560,3
"14,500",2002,2010,17.79,도림동,기린하이츠(205-6),1,7,35.98,205-6,11560,2
"21,800",2004,2010,37.16,도림동,노블레스(205-14),1,9,76.44,205-14,11560,3
"28,000",1984,2010,70.33,도림동,삼호빌라(32-31),1,11,91.64,32-31,11560,3
"24,000",1985,2010,73.22,도림동,무림빌라(30-0),1,20,81.61,30,11560,2
"22,800",2006,2010,36.31,도림동,우봉하이빌,1,24,59.45,187-53,11560,5
"14,000",1993,2010,20.13,양평동3가,삼현빌라,1,12,38.88,32-5,11560,3
"14,300",1984,2010,8.4,양평동4가,약산,1,14,33.92,160-2,11560,4
"14,000",1984,2010,8.8,양평동4가,약산,1,17,35.25,160-2,11560,4
"30,100",1993,2010,27.5,양평동4가,용건(274-0),1,20,61.35,274,11560,1
"15,000",1984,2010,9.9,양평동4가,약산,1,26,39.99,160-2,11560,4
"28,500",1986,2010,55.71,양평동6가,유성빌라(84-0),1,5,44.58,84,11560,3
"23,200",2002,2010,26.54,양평동6가,동도하이츠빌라(4동),1,19,45.56,89-4,11560,4
"29,500",2008,2010,35.82,신길동,더하우스,1,4,82.56,95-71,11560,4
"18,000",1987,2010,46.58,신길동,미성빌라,1,6,46.14,410-145,11560,2
"9,500",1996,2010,19.01,신길동,백양하이츠5차(407-42),1,6,33.48,407-42,11560,-1
"26,000",2006,2010,34.6,신길동,신세계아트빌,1,6,62.54,47-14,11560,3
"9,700",1996,2010,21.9,신길동,백양하이츠5차(407-42),1,8,38.56,407-42,11560,-1
"24,000",2003,2010,37.26,신길동,현대아트빌,1,9,68.14,4262,11560,2
"14,000",2001,2010,10.8,신길동,미광,1,9,31.79,187-5,11560,4
"27,000",1991,2010,25.25,신길동,현대파크빌라,1,9,55.32,205,11560,4
"11,300",2006,2010,13.93,신길동,(242-37),1,13,31.29,242-37,11560,2
"21,500",1987,2010,46.58,신길동,미성빌라,1,13,46.14,410-145,11560,1
"20,000",2003,2010,24.8,신길동,파라다이스빌(32-11),1,16,51.59,32-11,11560,4
"12,000",1991,2010,25.7,신길동,태양빌라,1,16,38.38,419-12,11560,1
"17,800",1977,2010,38.68,신길동,성호연립,1,18,42.31,4377,11560,2
"33,000",1976,2010,43.1,신길동,(1737-0),1,19,38.31,1737,11560,2
"34,500",2005,2010,38.22,신길동,샤인빌,1,20,47.79,2012,11560,5
"27,000",1991,2010,27.19,신길동,우신빌라(205-5),1,20,33.9,205-5,11560,1
"29,500",2002,2010,42.31,신길동,대원쉐르빌(4935-6),1,22,83.82,4935-6,11560,2
"27,000",1998,2010,38.75,신길동,전원하이츠,1,22,52.47,149-5,11560,1
"21,000",1995,2010,20.93,신길동,해주빌라B동,1,22,28.62,149,11560,3
"26,000",1991,2010,23.15,신길동,현대파크빌라,1,22,50.73,205,11560,1
"24,700",1988,2010,28.66,신길동,세원빌라나동,1,23,36.79,1515-8,11560,-1
"7,500",2003,2010,22.23,신길동,대산(410-173),1,25,60.44,410-173,11560,-1
"23,000",2003,2010,27,신길동,진성빌라(208-8),1,26,35.28,208-8,11560,3
"13,000",1993,2010,19.61,신길동,미림빌라1동,1,29,37.18,420-97,11560,3
"24,000",2001,2010,21.82,신길동,수정빌라,1,30,37.05,303-33,11560,4
"14,100",1992,2010,23.8,신길동,대신빌라,1,30,43.38,186-312,11560,-1
"13,000",1993,2010,14.26,신길동,미림빌라5동,1,31,33.27,420-98,11560,1
"11,900",1997,2010,24.08,대림동,(1116-13),1,6,56.44,1116-13,11560,2
"18,800",1994,2010,21.12,대림동,(1110-1),1,7,54.06,1110-1,11560,2
"24,500",1986,2010,48.2,대림동,"현대그린빌라 A,B동",1,8,72.72,993-4,11560,2
"18,500",2008,2010,28.31,대림동,삼성아트빌라3차(942-39),1,11,47.11,942-39,11560,2
"20,500",2003,2010,27.62,대림동,세종빌리지(678-3),1,13,54.13,678-3,11560,3
"17,500",1994,2010,21.2,대림동,(1111-7),1,14,54,1111-7,11560,4
"21,200",2009,2010,36.75,대림동,수목아트빌,1,16,72.32,760-1,11560,5
"8,630",1994,2010,12.16,대림동,(1109-3),1,18,31.2,1109-3,11560,3
"8,750",1994,2010,12.16,대림동,(1109-3),1,19,31.2,1109-3,11560,2
"20,500",1998,2010,41.13,대림동,공원빌라(868-2),1,21,48.96,868-2,11560,4
"18,500",1998,2010,27.1,대림동,미승하이츠 下동(1116-26),1,21,59.11,1116-26,11560,1
"14,000",1992,2010,16.45,대림동,"유성빌라 가,나동(863-9)",1,25,32.06,863-9,11560,3
"8,700",1994,2010,10.76,대림동,(1109-3),1,26,27.6,1109-3,11560,2
"12,500",1988,2010,29,대림동,현대빌라 26동,1,27,40.35,786-26,11560,-1
"9,000",1986,2010,31.57,대림동,도신연립 가동(685-0),1,28,41.56,685,11560,-1
"15,900",1987,2010,31.58,대림동,경성빌라 C동,1,30,36.4,801-14,11560,2
"28,400",1999,2010,63.9,대림동,그린빌라(895-4),1,30,95.6,895-4,11560,3
"71,500",1989,2010,105.9,영등포동,(602-181),2,1,43.55,602-181,11560,4
"21,900",2009,2010,33.06,영등포동,예인빌,2,8,61.01,620-88,11560,4
"26,000",2009,2010,49.59,영등포동,애인빌라(620-459),2,18,64.1,620-459,11560,2
"25,000",2009,2010,42.98,영등포동,애인빌라(620-459),2,19,63.32,620-459,11560,3
"13,200",1997,2010,27.13,당산동4가,(32-115),2,25,51.2,32-115,11560,1
"40,200",2009,2010,36.36,당산동6가,당산타워빌,2,5,60,110-66,11560,3
"26,800",1985,2010,73.22,도림동,무림빌라(30-0),2,3,81.61,30,11560,1
"19,780",2000,2010,24.34,도림동,백합빌라(157-1),2,3,39.06,157-1,11560,4
"17,500",1995,2010,26.81,도림동,진홍빌라(234-2),2,5,61.8,234-2,11560,2
"27,500",2008,2010,36.86,도림동,도림빌,2,17,61.66,202-43,11560,2
"26,000",1985,2010,73.22,도림동,무림빌라(30-0),2,18,81.61,30,11560,2
"22,650",2006,2010,27.34,도림동,현대씨티빌A,2,26,59.1,253,11560,2
"15,000",1984,2010,9.2,양평동4가,약산,2,4,36.55,160-2,11560,2
"28,200",2003,2010,26.84,양평동4가,롯데아트빌(249-6),2,12,58.36,249-6,11560,5
"31,000",1986,2010,62.64,양평동6가,유성빌라(84-0),2,3,50.82,84,11560,3
"37,500",1980,2010,62.9,양평동6가,"덕양(1,2,3,5)(86-0)",2,22,59.76,86,11560,2
"31,000",2003,2010,34.43,양평동6가,한양맨션(13-6),2,26,73.04,13-6,11560,2
"27,300",2009,2010,41.72,신길동,이레아트빌,2,1,74.42,3939,11560,2
"16,000",2002,2010,33.44,신길동,청산하이츠빌(4482-5),2,2,61.93,4482-5,11560,-1
"20,700",2006,2010,22.74,신길동,(243-28),2,2,56.55,243-28,11560,2
"9,500",1993,2010,22.18,신길동,미림빌라1동,2,4,42.04,420-97,11560,2
"34,000",1995,2010,34.9,신길동,서울그린빌라(531-0),2,5,39.76,531,11560,3
"22,300",2001,2010,24.87,신길동,도원빌라(189-31),2,5,59.52,189-31,11560,2
"22,500",2003,2010,21.53,신길동,대산(410-173),2,6,58.55,410-173,11560,4
"33,000",1995,2010,30.52,신길동,서울그린빌라(531-0),2,6,33.75,531,11560,4
"16,900",2008,2010,22.07,신길동,노들빌,2,8,36.44,65-103,11560,3
"37,000",2004,2010,50.45,신길동,원형(1448-1),2,9,68.91,1448-1,11560,3
"38,000",2009,2010,49.85,신길동,삼성쉐르빌(456-97),2,10,74.21,456-97,11560,3
"22,500",2001,2010,22.89,신길동,도원빌라(189-16),2,11,59.64,189-16,11560,3
"21,500",2002,2010,25.67,신길동,은성리치빌,2,11,49.37,1405,11560,3
"18,500",2001,2010,21.3,신길동,도원빌라(189-7),2,11,53.62,189-7,11560,3
"18,000",2000,2010,26.9,신길동,(187-40),2,12,59.25,187-40,11560,4
"31,000",2000,2010,30.28,신길동,한솔빌라트A동(1605-0),2,12,58.83,1605,11560,1
"24,500",1988,2010,32.17,신길동,세원빌라바동,2,16,36.87,1515,11560,2
"31,700",1991,2010,31.88,신길동,대방빌라,2,19,39.24,1587,11560,3
"27,000",2009,2010,38.33,신길동,이레아트빌,2,20,68.38,3939,11560,2
"16,000",2003,2010,24.74,신길동,화현아트빌(405-22),2,21,62.67,405-22,11560,4
"23,200",1987,2010,49.12,신길동,미성빌라,2,23,48.93,410-145,11560,2
"23,000",2008,2010,26.17,신길동,한가람빌라(2-1),2,24,42.42,2-1,11560,5
"23,500",1987,2010,46.58,신길동,미성빌라,2,24,46.14,410-145,11560,1
"19,500",2009,2010,28.33,대림동,우정빌라,2,2,49.71,751-22,11560,2
"16,800",2001,2010,26.89,대림동,대림빌라B동(926-6),2,3,51.09,926-6,11560,5
"14,000",2003,2010,17.99,대림동,대림테크빌 C동(957-16),2,5,30.83,957-16,11560,4
"14,800",1994,2010,17.46,대림동,(1109-4),2,5,43.33,1109-4,11560,3
"24,500",2009,2010,38.44,대림동,수목아트빌,2,11,72.84,760-1,11560,4
"14,000",2000,2010,17.8,대림동,(1118-0),2,12,42.78,1118,11560,4
"20,800",2005,2010,29.95,대림동,보강리치빌,2,18,53.87,653-4,11560,2
"12,500",2003,2010,27.34,대림동,(874-14),2,22,37.77,874-14,11560,1
"22,200",2000,2010,25,대림동,(1118-0),2,24,59.97,1118,11560,4
"22,200",2001,2010,27.01,대림동,영림아트빌(706-14),2,24,57.44,706-14,11560,2
"14,000",1987,2010,36.85,대림동,금강빌라 32동,2,27,49.37,786-32,11560,-1
"21,000",2003,2010,32.49,영등포동,경산맨션(618-240),3,17,57.44,618-240,11560,5
"22,000",2008,2010,30.84,영등포동,현대빌,3,20,51.32,575-3,11560,2
"23,000",2001,2010,29.3,영등포동,공원도원빌(646-4),3,23,59.13,646-4,11560,4
"26,000",2009,2010,49.59,영등포동,애인빌라(620-459),3,23,64.1,620-459,11560,1
"25,000",2002,2010,17.16,영등포동7가,조은빌라(143-2),3,3,29.96,143-2,11560,2
"25,000",2002,2010,27.85,영등포동7가,애니카(94-172),3,25,63.76,94-172,11560,4
"25,000",2002,2010,32.79,영등포동7가,애니카(94-172),3,25,75.05,94-172,11560,4
"25,000",2002,2010,27.85,영등포동7가,애니카(94-172),3,25,63.76,94-172,11560,3
"45,000",2002,2010,62.29,영등포동7가,애니카(94-172),3,25,142.59,94-172,11560,5
"25,000",2002,2010,32.79,영등포동7가,애니카(94-172),3,25,75.05,94-172,11560,3
"37,300",2002,2010,36.1,영등포동7가,(124-0),3,30,69.99,124,11560,2
"25,500",2009,2010,44.6,도림동,현대성 빌라,3,1,75.37,240-9,11560,2
"26,000",1985,2010,73.22,도림동,무림빌라(30-0),3,4,81.61,30,11560,1
"12,000",1993,2010,14.08,도림동,한양빌라(233-10),3,8,29.73,233-10,11560,2
"15,700",1986,2010,27.99,도림동,고려빌라 1동(232-7),3,20,40.62,232-7,11560,1
"17,980",1997,2010,27.18,도림동,(161-13),3,20,43.49,161-13,11560,4
"24,300",2002,2010,32.5,도림동,영광아트빌(159-41),3,24,60.3,159-41,11560,2
"25,800",2007,2010,39.711,도림동,월드빌,3,25,62.86,159-3,11560,2
"18,000",2002,2010,21.83,도림동,경산아트빌 A동(205-41),3,30,46.27,205-41,11560,2
"23,500",1991,2010,22.36,양평동4가,현대빌라(276-4),3,5,37.92,276-4,11560,4
"16,000",1984,2010,8.6,양평동4가,약산,3,6,34.58,160-2,11560,5
"15,000",1984,2010,8.6,양평동4가,약산,3,13,33.92,160-2,11560,2
"19,500",1997,2010,33.4,양평동4가,삼성빌라(78-6),3,26,56.19,78-6,11560,1
"33,200",1988,2010,32.42,양평동5가,정호빌라(나)(108-9),3,1,41.4,108-9,11560,2
"36,000",1986,2010,62.64,양평동6가,유성빌라(84-0),3,12,50.82,84,11560,3
"33,000",1986,2010,55.71,양평동6가,유성빌라(84-0),3,17,44.58,84,11560,1
"17,000",1998,2010,27.2,신길동,(187-69),3,1,59.73,187-69,11560,-1
"23,000",2008,2010,26.17,신길동,한가람빌라(2-1),3,1,42.42,2-1,11560,5
"25,000",2003,2010,40.54,신길동,정진아트빌,3,2,79.71,4431,11560,5
"21,500",1987,2010,31.42,신길동,(1-7),3,3,41.69,1-7,11560,-1
"15,650",1993,2010,18.78,신길동,미림빌라 7동(420-172),3,4,44.75,420-172,11560,3
"22,500",2002,2010,20.19,신길동,(1655-0),3,5,29.34,1655,11560,2
"8,500",1993,2010,12.94,신길동,미림빌라 6동(420-171),3,6,29.55,420-171,11560,-1
"16,850",1996,2010,24.73,신길동,(409-17),3,6,47.97,409-17,11560,2
"30,200",2006,2010,39.9,신길동,정수빌리지,3,9,67.22,4523,11560,2
"34,800",2001,2010,37,신길동,타워주택(1711-0),3,9,74.57,1711,11560,3
"18,000",1993,2010,28.75,신길동,진우빌라,3,10,47.61,170-28,11560,4
"23,500",2001,2010,24.1,신길동,도원빌라(189-14),3,15,59.62,189-14,11560,3
"29,500",2002,2010,32.3,신길동,한솔아트빌,3,20,66.35,158-48,11560,-1
"23,000",1987,2010,49.13,신길동,미성빌라,3,21,48.93,410-145,11560,3
"20,500",2001,2010,27.9,신길동,(187-37),3,22,59.84,187-37,11560,3
"24,000",2002,2010,32.45,신길동,CASAMIA,3,25,63.12,3937-2,11560,3
"18,000",1995,2010,24.16,신길동,태양빌라(1166-2),3,29,40.96,1166-2,11560,2
"29,300",2009,2010,41.72,신길동,이레아트빌,3,29,74.42,3939,11560,3
"37,600",1984,2010,77.17,신길동,백조빌라,3,29,106.5,253-254,11560,1
"22,900",1987,2010,51.67,신길동,미성빌라,3,29,51.72,410-145,11560,1
"20,000",2001,2010,26.88,대림동,다우빌라트,3,1,59.67,1088-15,11560,5
"26,500",2000,2010,38.05,대림동,성주빌라 A동(704-5),3,3,69.63,704-5,11560,4
"19,500",2000,2010,21.4,대림동,대림하나아트빌 104동(1117-3),3,3,57.36,1117-3,11560,1
"11,750",1994,2010,20.33,대림동,동서빌라(844-18),3,4,31.5,844-18,11560,1
"18,000",1999,2010,25.25,대림동,(1118-2),3,5,59.91,1118-2,11560,2
"23,500",2002,2010,35.95,대림동,유일빌라(694-0),3,6,77.52,694,11560,2
"22,300",1998,2010,29.47,대림동,낙원빌라(972-7),3,8,68.98,972-7,11560,3
"27,700",2009,2010,35.83,대림동,우정빌라,3,9,62.87,751-22,11560,4
"15,000",1998,2010,19.54,대림동,(1116-25),3,11,57.69,1116-25,11560,-1
"23,500",1986,2010,48.2,대림동,"현대그린빌라 A,B동",3,12,72.72,993-4,11560,3
"19,800",1986,2010,40.86,대림동,"현대그린빌라 A,B동",3,13,62.88,993-4,11560,2
"21,700",2000,2010,21.8,대림동,대림하나아트빌 105동(1117-4),3,15,59.38,1117-4,11560,1
"21,500",1986,2010,45.71,대림동,"현대그린빌라 A,B동",3,17,68.94,993-4,11560,3
"24,500",1986,2010,48.2,대림동,"현대그린빌라 A,B동",3,19,72.72,993-4,11560,3
"6,900",1994,2010,10.76,대림동,(1109-3),3,19,27.6,1109-3,11560,-1
"9,000",1994,2010,10.76,대림동,(1109-3),3,19,27.6,1109-3,11560,3
"22,500",2003,2010,32.25,대림동,해림아트(비동),3,22,61.9,667-4,11560,4
"22,900",1986,2010,48.2,대림동,"현대그린빌라 A,B동",3,24,72.72,993-4,11560,2
"22,300",1984,2010,58.61,대림동,금축빌라 C동(886-37),3,26,74.88,886-37,11560,3
"23,500",1986,2010,45.71,대림동,"현대그린빌라 A,B동",3,31,68.94,993-4,11560,2
"24,000",2003,2010,31.72,영등포동,경산맨션(618-240),4,5,56.08,618-240,11560,3
"22,200",2001,2010,29.9,영등포동,공원도원빌(646-10),4,5,59.4,646-10,11560,4
"15,000",2002,2010,21.38,영등포동,하이드빌(618-250),4,17,34.81,618-250,11560,2
"28,000",2003,2010,41.35,영등포동,경산맨션(618-240),4,24,73.11,618-240,11560,4
"22,000",2002,2010,32.25,영등포동7가,한스빌라(29-136),4,10,65.58,29-136,11560,4
"13,400",1995,2010,31.89,영등포동7가,일지그린빌라(94-183),4,19,55.12,94-183,11560,-1
"20,700",1996,2010,24.24,당산동1가,(186-98),4,13,47.46,186-98,11560,2
"20,000",2003,2010,27.55,당산동3가,삼현스위트홈(395-44),4,15,56.52,395-44,11560,4
"22,000",2002,2010,18.8,당산동6가,경남주택(216-3),4,3,33.17,216-3,11560,4
"20,500",2003,2010,25.94,도림동,대우파크빌(183-2),4,1,44.33,183-2,11560,3
"27,000",2008,2010,37.649,도림동,현대디자인하우스,4,5,76.52,114-5,11560,4
"25,400",2009,2010,41.1,도림동,신흥캐스빌,4,7,58.9,93-1,11560,3
"14,000",1991,2010,26.88,도림동,"도림빌라 가, 나동(229-30)",4,11,50.31,229-30,11560,-1
"30,000",2010,2010,43.82,도림동,리첸힐스,4,15,84.52,63-1,11560,4
"27,000",2010,2010,31.32,도림동,리첸힐스,4,15,60.41,63-1,11560,3
"21,500",2007,2010,45.1,도림동,월드빌,4,28,71.38,159-3,11560,4
"13,900",1984,2010,8.7,양평동4가,약산,4,9,34.58,160-2,11560,2
"32,900",2003,2010,28.1,양평동4가,롯데아트빌(249-6),4,10,61.1,249-6,11560,2
"7,100",1997,2010,13.57,양평동4가,삼성빌라(78-6),4,26,22.83,78-6,11560,-1
"19,000",1999,2010,20.6,신길동,(187-8),4,1,59.14,187-8,11560,4
"17,500",1993,2010,32.28,신길동,진우빌라,4,9,53.46,170-28,11560,1
"8,450",2002,2010,13.66,신길동,두산파크빌(35-0),4,13,28.79,35,11560,3
"30,000",2002,2010,36.13,신길동,은성리치빌,4,17,69.44,1405,11560,4
"14,800",2001,2010,16.92,신길동,도원빌라(189-44),4,21,44.11,189-44,11560,4
"19,200",1997,2010,26.7,신길동,(187-62),4,28,54.36,187-62,11560,2
"18,900",2007,2010,18.19,신길동,(243-16),4,30,44.18,243-16,11560,3
"25,000",1991,2010,41.83,신길동,(9-22),4,30,37.11,9-22,11560,-1
"20,500",1984,2010,58.61,대림동,금축빌라 C동(886-37),4,5,74.88,886-37,11560,1
"21,000",2009,2010,28.33,대림동,우정빌라,4,7,49.71,751-22,11560,3
"20,600",2005,2010,34.27,대림동,세종빌리지A동(676-25),4,8,61.5,676-25,11560,1
"12,850",1994,2010,17.3,대림동,한승빌라트 A동(1109-8),4,9,43.56,1109-8,11560,-1
"25,000",2002,2010,33.74,대림동,대리 노벨리티빌,4,11,73.53,1025-16,11560,4
"16,500",1993,2010,31.17,대림동,(880-6),4,13,47.04,880-6,11560,1
"21,000",1997,2010,21.37,대림동,대림빌라(1116-5),4,20,58.74,1116-5,11560,1
"19,500",2002,2010,33.86,대림동,(860-20),4,23,50.81,860-20,11560,1
"8,800",1994,2010,14.73,대림동,(1108-2),4,23,39.17,1108-2,11560,-1
"5,000",1988,2010,28.98,대림동,현대빌라 25동,4,27,41.44,786-25,11560,-1
"22,600",2006,2010,29.11,당산동1가,당산아트빌,5,20,58.23,256-85,11560,2
"17,800",1987,2010,26.74,도림동,청운빌라(23-15),5,10,32.96,23-15,11560,1
"25,500",2009,2010,44.6,도림동,현대성 빌라,5,11,75.37,240-9,11560,3
"5,200",1997,2010,13.9,양평동4가,삼성빌라(78-6),5,31,23.39,78-6,11560,-1
"31,650",1986,2010,55.71,양평동6가,유성빌라(84-0),5,18,44.58,84,11560,2
"11,900",1995,2010,24.16,신길동,태양빌라(1166-2),5,1,40.96,1166-2,11560,-1
"39,000",2009,2010,49.85,신길동,삼성쉐르빌(456-97),5,4,74.21,456-97,11560,4
"15,700",2007,2010,13.23,신길동,(243-16),5,10,33.64,243-16,11560,2
"24,000",2003,2010,40.34,신길동,대광빌라트(4060-0),5,12,64.08,4060,11560,5
"22,000",2002,2010,17.41,신길동,신길동복합건물,5,12,57.83,242-39,11560,4
"19,500",2007,2010,19.85,신길동,(243-16),5,12,60.04,243-16,11560,3
"27,000",2003,2010,36.56,신길동,행복맨션1동(91-47),5,13,75.14,91-47,11560,4
"20,500",1998,2010,43.04,신길동,(3183-76),5,15,59.97,3183-76,11560,2
"38,000",2009,2010,50.55,신길동,삼성쉐르빌(456-97),5,17,75.2,456-97,11560,5
"37,000",2009,2010,49.85,신길동,삼성쉐르빌(456-97),5,17,74.21,456-97,11560,3
"13,500",2007,2010,10.34,신길동,(243-16),5,20,26.4,243-16,11560,2
"25,500",2003,2010,47.93,신길동,승원베스트빌(95-302),5,29,75.63,95-302,11560,2
"11,500",1987,2010,36.9,대림동,금강빌라 17동,5,3,49.37,786-17,11560,-1
"6,950",1994,2010,12.16,대림동,(1109-3),5,3,31.2,1109-3,11560,-1
"25,000",2002,2010,22.78,대림동,금성아트빌(942-28),5,6,53.61,942-28,11560,3
"26,500",2000,2010,38.63,대림동,성주빌라 A동(704-5),5,18,70.69,704-5,11560,4
"17,500",1993,2010,31.27,대림동,대림빌라 나동,5,24,53.17,990-41,11560,3
"21,400",1997,2010,24.08,대림동,(1116-13),5,26,56.44,1116-13,11560,3
"23,000",1978,2010,51.6,당산동3가,(395-12),6,25,66.11,395-12,11560,1
"24,500",2009,2010,44.6,도림동,현대성 빌라,6,19,75.37,240-9,11560,4
"32,000",2010,2010,43.82,도림동,리첸힐스,6,28,84.52,63-1,11560,3
"21,700",2002,2010,37.96,신길동,보라매빌리지(4283-0),6,2,77.52,4283,11560,5
"23,700",1988,2010,31,신길동,세원빌라마동,6,7,36.87,1515-10,11560,1
"9,000",1994,2010,31.5,신길동,(1601-0),6,14,43.39,1601,11560,2
"23,500",2001,2010,21.65,신길동,타워주택(1711-0),6,15,43.65,1711,11560,5
"20,200",2001,2010,17.87,신길동,도원빌라(189-13),6,22,59.88,189-13,11560,1
"8,500",1993,2010,17.33,신길동,미림빌라 8동,6,25,35.68,420-176,11560,-1
"13,000",1994,2010,18.42,대림동,(1112-3),6,4,45.6,1112-3,11560,1
"13,000",1994,2010,15.02,대림동,(1111-8),6,5,40.05,1111-8,11560,1
"18,000",1999,2010,20.75,대림동,홍현빌라 B동(1116-41),6,6,55.36,1116-41,11560,4
"22,900",1986,2010,45.71,대림동,"현대그린빌라 A,B동",6,14,68.94,993-4,11560,1
"22,700",1986,2010,45.71,대림동,"현대그린빌라 A,B동",6,14,68.94,993-4,11560,3
"6,900",2001,2010,15.01,대림동,대림그린빌(987-21),6,18,24.72,987-21,11560,2
"13,500",1998,2010,27.2,대림동,미승하이츠 下동(1116-26),6,22,59.66,1116-26,11560,-1
"12,500",1997,2010,17.6,대림동,(1116-18),6,24,46.64,1116-18,11560,-1
"28,000",2003,2010,27.55,당산동3가,삼현스위트홈(395-44),7,4,56.52,395-44,11560,2
"23,500",2002,2010,19.89,당산동6가,경남주택(216-3),7,13,35.09,216-3,11560,2
"33,000",2010,2010,33.74,양평동4가,한강스카이빌,7,10,60.89,275-2,11560,4
"22,000",1986,2010,29.5,양평동6가,(72-1),7,14,35.88,72-1,11560,1
"16,700",2007,2010,13.38,신길동,(243-16),7,1,27.72,243-16,11560,1
"18,300",2007,2010,16.63,신길동,(243-16),7,1,47.36,243-16,11560,4
"12,000",2003,2010,21.17,신길동,대산(410-171),7,8,56.52,410-171,11560,5
"26,000",2001,2010,34.11,신길동,정금빌라,7,15,66.27,359-15,11560,3
"24,000",1986,2010,17.47,신길동,대연(1935-0),7,20,30.38,1935,11560,2
"30,000",2006,2010,37.09,신길동,한나주택,7,21,58.71,4914-9,11560,5
"35,100",1981,2010,58.6,신길동,대방맨션,7,21,67.87,1583-1,11560,1
"25,000",2001,2010,37,신길동,원영빌라,7,22,82.03,3952,11560,3
"19,800",2006,2010,29.28,대림동,세종빌리지 C동,7,3,51.15,676-21,11560,3
"17,200",1987,2010,36.9,대림동,금강빌라 20동,7,3,49.37,786-20,11560,3
"14,600",1988,2010,29,대림동,현대빌라 26동,7,13,40.35,786-26,11560,1
"13,500",1998,2010,26.8,대림동,홍현빌라 A동(1116-39),7,29,59.76,1116-39,11560,-1
"20,790",1997,2010,31.47,도림동,(161-13),8,10,50.35,161-13,11560,3
"21,570",2007,2010,39.711,도림동,월드빌,8,27,62.86,159-3,11560,3
"32,500",2010,2010,34.65,양평동4가,한강샤인빌,8,2,60.06,260,11560,4
"15,600",1984,2010,9.2,양평동4가,약산,8,16,36.55,160-2,11560,2
"14,700",1997,2010,33.4,양평동4가,삼성빌라(78-6),8,17,56.19,78-6,11560,2
"15,000",1997,2010,33.4,양평동4가,삼성빌라(78-6),8,31,56.19,78-6,11560,3
"19,000",2003,2010,30.05,신길동,대광빌라트(4060-0),8,3,49.77,4060,11560,3
"15,000",2007,2010,18.19,신길동,(243-16),8,4,44.18,243-16,11560,2
"16,000",1997,2010,18.9,신길동,(187-23),8,17,48.24,187-23,11560,3
"11,300",1991,2010,30.64,신길동,태양하이츠A,8,23,59.9,166-9,11560,4
"17,000",2003,2010,22.01,신길동,대산(410-175),8,24,59.72,410-175,11560,-1
"19,500",2001,2010,22.89,신길동,도원빌라(189-16),8,26,59.64,189-16,11560,1
"44,000",1983,2010,76,신길동,광동맨숀(1970-0),8,28,80.2,1970,11560,1
"33,300",1981,2010,58.6,신길동,대방맨션,8,29,72.8,1583-1,11560,3
"21,000",1998,2010,17.68,대림동,(1116-15),8,2,58.65,1116-15,11560,1
"11,800",1997,2010,19.75,대림동,(1116-20),8,7,48.6,1116-20,11560,-1
"13,000",1994,2010,15.02,대림동,(1111-8),8,25,40.05,1111-8,11560,-1
"13,000",1994,2010,15.02,대림동,(1111-8),8,26,40.05,1111-8,11560,4
"20,000",1993,2010,28.05,당산동1가,(433-0),9,24,59.61,433,11560,3
"13,500",2003,2010,18.9,당산동,미림빌라트(173-20),9,30,39.51,173-20,11560,4
"11,000",1993,2010,21.23,도림동,영도빌라(114-11),9,14,33.6,114-11,11560,-1
"23,000",2004,2010,36.31,도림동,제일팰리스(231-26),9,30,73.8,231-26,11560,3
"34,000",2003,2010,26.84,양평동4가,롯데아트빌(249-6),9,9,58.36,249-6,11560,5
"27,000",2004,2010,43.9,신길동,청솔하이츠빌(4305-0),9,10,65.9,4305,11560,4
"18,500",1998,2010,25.5,신길동,(314-29),9,11,50.38,314-29,11560,2
"13,000",1992,2010,25.04,신길동,신광빌라,9,18,46.56,186-126,11560,3
"19,000",2001,2010,21.9,신길동,도원빌라(189-42),9,18,53.36,189-42,11560,3
"27,900",2009,2010,40.62,신길동,이레아트빌,9,25,72.47,3939,11560,4
"25,000",2003,2010,37.26,신길동,현대아트빌,9,27,68.14,4262,11560,2
"26,800",2006,2010,38.11,신길동,신세계아트빌,9,27,68.78,47-14,11560,1
"14,400",2001,2010,16.92,신길동,도원빌라(189-44),9,29,44.11,189-44,11560,2
"20,900",2009,2010,37.83,신길동,라인맨션,9,30,64.53,117-22,11560,5
"23,000",1998,2010,36.72,대림동,수도빌라(1084-7),9,4,63.55,1084-7,11560,2
"20,700",1999,2010,27.45,대림동,(1118-5),9,6,59.94,1118-5,11560,2
"25,500",2008,2010,42.59,대림동,다청림 103동(687-4),9,8,69.5,687-4,11560,4
"9,000",1994,2010,10.76,대림동,(1109-3),9,12,27.6,1109-3,11560,2
