건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,비버리캐슬,중곡동,"5,500",광진구,1,0,1,22.8,41-33,11215,3
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,1,0,19,25.9,123-9,11215,4
2004,2011,비버리캐슬,중곡동,"6,000",광진구,1,0,29,22.2,41-33,11215,5
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,1,0,29,25.9,123-9,11215,6
2003,2011,노블레스 빌,능동,"4,000",광진구,1,30,7,24.04,255-18,11215,3
2004,2011,(283-15),능동,"2,000",광진구,1,50,19,25.6,283-15,11215,5
2004,2011,(283-15),능동,"2,000",광진구,1,50,19,25.6,283-15,11215,5
2003,2011,센트럴빌,구의동,"2,500",광진구,1,45,3,32.19,253-19,11215,2
2003,2011,와이엔 오피스텔,구의동,"9,500",광진구,1,0,4,25.76,218-15,11215,8
2003,2011,센트럴빌,구의동,"12,000",광진구,1,0,5,32.19,253-19,11215,10
2006,2011,크레신타워3차,구의동,"1,500",광진구,1,60,6,25.35,246-14,11215,9
2003,2011,센트럴빌,구의동,"10,000",광진구,1,0,7,41.29,253-19,11215,2
2004,2011,베스트 트레드빌,구의동,"10,000",광진구,1,0,14,28.09,243-2,11215,8
2003,2011,센트럴빌,구의동,"2,000",광진구,1,50,17,32.19,253-19,11215,5
2003,2011,평강오피스텔,구의동,"8,500",광진구,1,0,17,27.69,598-2,11215,3
2003,2011,평강오피스텔,구의동,"8,500",광진구,1,0,17,25.5,598-2,11215,2
2003,2011,센트럴빌,구의동,"11,000",광진구,1,0,18,41.29,253-19,11215,5
2003,2011,센트럴빌,구의동,"9,000",광진구,1,10,19,32.19,253-19,11215,6
2003,2011,센트럴빌,구의동,"9,000",광진구,1,0,22,32.19,253-19,11215,4
2004,2011,베스트 트레드빌,구의동,"1,000",광진구,1,60,26,26.84,243-2,11215,8
2003,2011,효성리버카운티,광장동,"1,000",광진구,1,50,22,26.78,108,11215,3
2004,2011,제이원하이텔,자양동,"1,000",광진구,1,60,10,23.94,608-21,11215,8
2007,2011,더샵스타시티,자양동,"10,000",광진구,1,230,12,149.79,227-7,11215,12
2005,2011,금강태극빌,자양동,"9,500",광진구,1,0,17,30.93,779-3,11215,3
2005,2011,금강태극빌,자양동,"7,000",광진구,1,15,18,22.61,779-3,11215,9
2005,2011,금강태극빌,자양동,"4,000",광진구,1,30,22,25.08,779-3,11215,4
2005,2011,금강태극빌,자양동,"4,000",광진구,1,35,25,30.93,779-3,11215,9
2003,2011,글로벌시티,화양동,"1,000",광진구,1,65,18,20.61,49-12,11215,3
2005,2011,KCC파크타운,화양동,"9,500",광진구,1,0,22,25.79,527,11215,7
1999,2011,화양타워,화양동,"1,000",광진구,1,60,26,37.34,110-37,11215,5
2002,2011,(302-24),화양동,"2,000",광진구,1,45,28,24.9,302-24,11215,6
2004,2011,비버리캐슬,중곡동,"4,000",광진구,2,20,14,22.2,41-33,11215,4
2003,2011,좋은사람 좋은집,중곡동,"5,000",광진구,2,0,16,20.72,190-3,11215,6
2004,2011,비버리캐슬,중곡동,"5,000",광진구,2,20,21,28.12,41-33,11215,5
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,2,0,26,25.9,123-9,11215,5
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,2,0,26,25.9,123-9,11215,6
2003,2011,노블레스 빌,능동,"9,000",광진구,2,0,17,24.04,255-18,11215,5
2003,2011,센트럴빌,구의동,"7,000",광진구,2,18,7,32.19,253-19,11215,6
2003,2011,센트럴빌,구의동,"8,000",광진구,2,10,7,32.19,253-19,11215,3
2000,2011,(219-17),구의동,"10,000",광진구,2,0,8,28.8,219-17,11215,4
2003,2011,센트럴빌,구의동,"9,000",광진구,2,25,9,41.29,253-19,11215,3
2004,2011,베스트 트레드빌,구의동,"1,000",광진구,2,65,14,26.84,243-2,11215,12
2004,2011,베스트 트레드빌,구의동,"9,500",광진구,2,0,14,26.84,243-2,11215,5
2002,2011,다성리버텔,구의동,"3,500",광진구,2,45,18,29.97,218-12,11215,2
2004,2011,강변,구의동,"14,000",광진구,2,0,18,53.07,198-5,11215,2
2003,2011,신도브래뉴오피스텔,구의동,"9,000",광진구,2,0,19,24.41,251-34,11215,10
2003,2011,평강오피스텔,구의동,"9,000",광진구,2,0,19,27.69,598-2,11215,4
2003,2011,센트럴빌,구의동,"9,000",광진구,2,0,20,32.19,253-19,11215,10
2002,2011,다성리버텔,구의동,"5,000",광진구,2,40,22,33.97,218-12,11215,10
2003,2011,와이엔 오피스텔,구의동,"10,000",광진구,2,0,24,26.82,218-15,11215,3
2005,2011,광장동 이노빌 오피스텔,광장동,"18,000",광진구,2,0,22,83,530-7,11215,10
2007,2011,더샵스타시티,자양동,"47,000",광진구,2,0,9,149.79,227-7,11215,2
1999,2011,자양오피스텔(767-4),자양동,"1,000",광진구,2,50,14,30.24,767-4,11215,4
2002,2011,(224-12),자양동,"1,500",광진구,2,55,16,33.35,224-12,11215,4
2004,2011,제이원하이텔,자양동,"1,000",광진구,2,70,19,27.09,608-21,11215,4
2007,2011,더샵스타시티,자양동,"47,000",광진구,2,0,23,149.79,227-7,11215,9
1999,2011,화양타워,화양동,"8,000",광진구,2,20,18,38.64,110-37,11215,4
2002,2011,(302-24),화양동,"3,000",광진구,2,35,20,24.9,302-24,11215,2
2002,2011,(302-24),화양동,"2,000",광진구,2,49,27,24.9,302-24,11215,4
2003,2011,글로벌시티,화양동,"2,500",광진구,2,50,28,20.61,49-12,11215,6
2003,2011,좋은사람 좋은집,중곡동,"5,000",광진구,3,0,19,20.35,190-3,11215,2
2004,2011,비버리캐슬,중곡동,"7,000",광진구,3,0,19,28.12,41-33,11215,4
2003,2011,평강오피스텔,구의동,"13,500",광진구,3,0,1,51,598-2,11215,3
2002,2011,다성리버텔,구의동,"1,000",광진구,3,75,5,34.88,218-12,11215,5
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,3,0,6,31.2,251-34,11215,8
2003,2011,센트럴빌,구의동,"1,000",광진구,3,60,14,32.19,253-19,11215,4
2001,2011,(199-14),구의동,"8,500",광진구,3,0,16,32.85,199-14,11215,3
2003,2011,센트럴빌,구의동,"9,500",광진구,3,0,18,32.19,253-19,11215,6
2004,2011,베스트 트레드빌,구의동,"8,500",광진구,3,0,26,26.84,243-2,11215,6
2003,2011,와이엔 오피스텔,구의동,"1,000",광진구,3,60,26,25.16,218-15,11215,4
2003,2011,와이엔 오피스텔,구의동,"9,500",광진구,3,0,28,26.82,218-15,11215,7
2006,2011,현대13차폴라트리움,구의동,"15,000",광진구,3,0,28,50.4,199-23,11215,2
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,3,0,29,31.2,251-34,11215,10
2000,2011,(396-13),광장동,"23,000",광진구,3,32,1,95.26,396-13,11215,8
2003,2011,효성리버카운티,광장동,"7,500",광진구,3,0,2,28.75,108,11215,6
2005,2011,광장동 이노빌 오피스텔,광장동,"18,000",광진구,3,0,21,95.28,530-7,11215,8
2005,2011,광장동 이노빌 오피스텔,광장동,"17,000",광진구,3,0,21,95.28,530-7,11215,2
2005,2011,광장동 이노빌 오피스텔,광장동,"18,000",광진구,3,0,21,83,530-7,11215,7
2003,2011,효성리버카운티,광장동,"7,500",광진구,3,0,23,24.04,108,11215,9
2004,2011,제이원하이텔,자양동,"1,000",광진구,3,65,9,23.94,608-21,11215,4
2007,2011,더샵스타시티,자양동,"10,000",광진구,3,300,10,174.24,227-7,11215,4
2004,2011,제이원하이텔,자양동,"6,500",광진구,3,10,11,23.58,608-21,11215,5
2007,2011,더샵스타시티,자양동,"10,000",광진구,3,280,14,174.24,227-7,11215,15
2004,2011,제이원하이텔,자양동,"9,500",광진구,3,0,25,23.94,608-21,11215,6
2004,2011,캠퍼니안,화양동,"10,000",광진구,3,0,2,41.08,93-3,11215,4
1999,2011,화양타워,화양동,"9,000",광진구,3,0,3,37.34,110-37,11215,4
2003,2011,글로벌시티,화양동,"8,000",광진구,3,0,9,20.61,49-12,11215,3
1999,2011,화양타워,화양동,"8,000",광진구,3,0,15,40.56,110-37,11215,5
1999,2011,화양타워,화양동,"8,500",광진구,3,0,17,39.2,110-37,11215,4
2005,2011,KCC파크타운,화양동,"12,000",광진구,3,0,18,32.16,527,11215,12
2002,2011,(302-24),화양동,"4,000",광진구,3,40,26,38.7,302-24,11215,3
2004,2011,비버리캐슬,중곡동,"7,500",광진구,4,6,4,28.12,41-33,11215,4
2004,2011,비버리캐슬,중곡동,"7,500",광진구,4,0,10,28.12,41-33,11215,6
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,4,0,18,25.9,123-9,11215,2
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,4,0,18,25.9,123-9,11215,5
2004,2011,비버리캐슬,중곡동,"2,000",광진구,4,35,23,28.12,41-33,11215,3
2003,2011,신도브래뉴오피스텔,구의동,"3,000",광진구,4,50,5,31.2,251-34,11215,9
1997,2011,성지하이츠,구의동,"9,000",광진구,4,0,7,42.07,252-14,11215,5
2003,2011,센트럴빌,구의동,"1,000",광진구,4,60,8,32.19,253-19,11215,5
2003,2011,센트럴빌,구의동,"10,000",광진구,4,0,9,32.19,253-19,11215,3
2004,2011,베스트 트레드빌,구의동,"9,500",광진구,4,0,12,26.84,243-2,11215,13
2003,2011,센트럴빌,구의동,"10,000",광진구,4,0,12,32.19,253-19,11215,10
2002,2011,다성리버텔,구의동,"11,000",광진구,4,0,16,33.97,218-12,11215,8
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,4,0,16,32.17,251-34,11215,4
2003,2011,신도브래뉴오피스텔,구의동,"9,700",광진구,4,0,16,31.2,251-34,11215,4
2000,2011,(219-17),구의동,"8,500",광진구,4,0,17,27.6,219-17,11215,6
2003,2011,센트럴빌,구의동,"1,000",광진구,4,63,21,32.19,253-19,11215,7
2003,2011,와이엔 오피스텔,구의동,"1,000",광진구,4,60,21,25.16,218-15,11215,7
2003,2011,센트럴빌,구의동,500,광진구,4,65,23,32.19,253-19,11215,3
2003,2011,평강오피스텔,구의동,"9,000",광진구,4,0,27,25.5,598-2,11215,2
2003,2011,효성리버카운티,광장동,"7,500",광진구,4,0,9,28.88,108,11215,3
2005,2011,광장동 이노빌 오피스텔,광장동,"17,000",광진구,4,0,25,83,530-7,11215,2
2005,2011,광장동 이노빌 오피스텔,광장동,"19,000",광진구,4,0,28,95.28,530-7,11215,7
2007,2011,더샵스타시티,자양동,"55,000",광진구,4,0,2,174.24,227-7,11215,14
2002,2011,(224-12),자양동,"7,000",광진구,4,0,5,20.52,224-12,11215,2
2007,2011,더샵스타시티,자양동,"7,000",광진구,4,300,21,174.24,227-7,11215,4
2007,2011,더샵스타시티,자양동,"55,000",광진구,4,0,22,149.79,227-7,11215,10
2004,2011,비버리캐슬,중곡동,"5,000",광진구,5,0,27,22.2,41-33,11215,4
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,5,0,28,25.9,123-9,11215,5
2000,2011,(219-17),구의동,"10,000",광진구,5,0,2,32.34,219-17,11215,4
2004,2011,베스트 트레드빌,구의동,"4,000",광진구,5,30,2,26.84,243-2,11215,11
2001,2011,(199-14),구의동,"8,500",광진구,5,0,4,32.25,199-14,11215,5
2003,2011,신도브래뉴오피스텔,구의동,"1,000",광진구,5,65,4,31.2,251-34,11215,8
2003,2011,와이엔 오피스텔,구의동,"1,000",광진구,5,68,5,36.53,218-15,11215,5
2003,2011,평강오피스텔,구의동,"8,500",광진구,5,0,7,26.52,598-2,11215,1
2001,2011,(199-14),구의동,"1,000",광진구,5,60,9,34.5,199-14,11215,7
2006,2011,크레신타워3차,구의동,"10,000",광진구,5,0,9,25.35,246-14,11215,10
2004,2011,베스트 트레드빌,구의동,"9,000",광진구,5,0,12,26.84,243-2,11215,8
2003,2011,평강오피스텔,구의동,"8,000",광진구,5,0,12,25.5,598-2,11215,1
2003,2011,센트럴빌,구의동,"1,000",광진구,5,65,15,32.19,253-19,11215,8
2003,2011,센트럴빌,구의동,"11,000",광진구,5,0,21,32.19,253-19,11215,8
2010,2011,아델리아 구의타워,구의동,"1,000",광진구,5,47,23,18.74,251-157,11215,5
2009,2011,광진해모로리버뷰,구의동,"30,000",광진구,5,0,23,49.99,547-7,11215,2
2002,2011,다성리버텔,구의동,"4,500",광진구,5,45,28,33.97,218-12,11215,10
2003,2011,센트럴빌,구의동,"8,500",광진구,5,15,28,32.19,253-19,11215,2
2005,2011,광장동 이노빌 오피스텔,광장동,"18,000",광진구,5,0,4,95.28,530-7,11215,4
2004,2011,제이원하이텔,자양동,"3,000",광진구,5,45,4,23.94,608-21,11215,6
2007,2011,더샵스타시티,자양동,"58,000",광진구,5,0,27,174.24,227-7,11215,10
2004,2011,비버리캐슬,중곡동,"5,500",광진구,6,0,15,28.12,41-33,11215,6
2004,2011,비버리캐슬,중곡동,"6,000",광진구,6,0,16,22.2,41-33,11215,3
2003,2011,노블레스 빌,능동,"9,000",광진구,6,0,28,23.96,255-18,11215,4
2002,2011,다성리버텔,구의동,500,광진구,6,85,4,33.97,218-12,11215,8
2010,2011,아델리아 구의타워,구의동,"1,000",광진구,6,85,13,36.41,251-157,11215,7
2003,2011,센트럴빌,구의동,"1,000",광진구,6,70,13,32.19,253-19,11215,7
2003,2011,와이엔 오피스텔,구의동,"2,000",광진구,6,50,14,25.33,218-15,11215,2
2001,2011,(199-14),구의동,"8,500",광진구,6,0,21,37.26,199-14,11215,6
2006,2011,크레신타워3차,구의동,"8,000",광진구,6,20,21,25.35,246-14,11215,15
2002,2011,다성리버텔,구의동,"10,000",광진구,6,0,25,33.97,218-12,11215,5
2003,2011,센트럴빌,구의동,"8,000",광진구,6,15,30,32.19,253-19,11215,10
2002,2011,(302-24),화양동,"7,000",광진구,6,0,2,24.9,302-24,11215,6
2002,2011,(302-24),화양동,"6,500",광진구,6,0,3,24.9,302-24,11215,4
2002,2011,(302-24),화양동,"6,500",광진구,6,0,9,24.9,302-24,11215,3
1999,2011,화양타워,화양동,"9,000",광진구,6,0,23,38.64,110-37,11215,5
2004,2011,비버리캐슬,중곡동,"5,500",광진구,7,0,1,28.12,41-33,11215,5
2004,2011,비버리캐슬,중곡동,"3,500",광진구,7,25,6,22.2,41-33,11215,4
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,7,0,22,25.9,123-9,11215,3
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,7,0,22,25.9,123-9,11215,6
2004,2011,비버리캐슬,중곡동,"6,000",광진구,7,0,25,22.2,41-33,11215,3
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,7,0,27,25.9,123-9,11215,2
2004,2011,(283-15),능동,"1,000",광진구,7,60,23,28.88,283-15,11215,4
2004,2011,베스트 트레드빌,구의동,"5,000",광진구,7,30,2,26.84,243-2,11215,4
1997,2011,성지하이츠,구의동,"3,000",광진구,7,45,6,38.61,252-14,11215,7
2004,2011,강변,구의동,"12,000",광진구,7,0,8,50.43,198-5,11215,2
2003,2011,센트럴빌,구의동,"4,000",광진구,7,60,11,41.29,253-19,11215,8
2003,2011,신도브래뉴오피스텔,구의동,"5,000",광진구,7,35,12,31.2,251-34,11215,6
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,7,0,12,32.17,251-34,11215,4
2004,2011,베스트 트레드빌,구의동,"11,000",광진구,7,0,25,26.84,243-2,11215,12
2003,2011,신도브래뉴오피스텔,구의동,"2,000",광진구,7,50,30,24.41,251-34,11215,2
2003,2011,효성리버카운티,광장동,"1,000",광진구,7,60,18,27.8,108,11215,8
2005,2011,광장동 이노빌 오피스텔,광장동,"19,500",광진구,7,0,23,83,530-7,11215,2
2002,2011,(224-12),자양동,"6,500",광진구,7,0,2,20.52,224-12,11215,5
2007,2011,더샵스타시티,자양동,"39,000",광진구,7,0,5,116.02,227-7,11215,9
2007,2011,더샵스타시티,자양동,"47,000",광진구,7,0,6,149.79,227-7,11215,9
2006,2011,광진트라팰리스,자양동,"18,000",광진구,7,0,15,35.12,854,11215,4
2007,2011,더샵스타시티,자양동,"50,000",광진구,7,0,18,174.24,227-7,11215,2
2004,2011,제이원하이텔,자양동,"10,200",광진구,7,0,20,23.94,608-21,11215,7
2003,2011,자양오피스텔(219-6),자양동,"3,000",광진구,7,30,23,20.31,219-6,11215,6
1999,2011,화양타워,화양동,"10,000",광진구,7,0,1,34.62,110-37,11215,4
2004,2011,캠퍼니안,화양동,"1,000",광진구,7,75,5,41.08,93-3,11215,7
2004,2011,캠퍼니안,화양동,"1,000",광진구,7,70,6,42.42,93-3,11215,3
2004,2011,비버리캐슬,중곡동,"6,000",광진구,8,0,4,22.2,41-33,11215,5
2004,2011,비버리캐슬,중곡동,"6,000",광진구,8,0,8,22.8,41-33,11215,4
2003,2011,좋은사람 좋은집,중곡동,"3,500",광진구,8,30,12,20.72,190-3,11215,5
2003,2011,좋은사람 좋은집,중곡동,"5,000",광진구,8,10,12,20.72,190-3,11215,5
2003,2011,신도브래뉴오피스텔,구의동,"4,000",광진구,8,50,5,36.86,251-34,11215,9
2003,2011,와이엔 오피스텔,구의동,"9,500",광진구,8,0,16,25.16,218-15,11215,4
2004,2011,베스트 트레드빌,구의동,"2,500",광진구,8,45,19,26.84,243-2,11215,6
2003,2011,평강오피스텔,구의동,"9,500",광진구,8,0,22,27.69,598-2,11215,3
2003,2011,평강오피스텔,구의동,"8,500",광진구,8,0,25,25.5,598-2,11215,1
2003,2011,효성리버카운티,광장동,"7,000",광진구,8,0,3,27.8,108,11215,5
2005,2011,광장동 이노빌 오피스텔,광장동,"19,000",광진구,8,0,19,95.28,530-7,11215,6
2007,2011,더샵스타시티,자양동,"45,000",광진구,8,0,2,116.02,227-7,11215,13
1999,2011,자양오피스텔(767-4),자양동,"8,000",광진구,8,0,4,30.24,767-4,11215,8
2007,2011,더샵스타시티,자양동,"45,000",광진구,8,0,15,116.02,227-7,11215,5
1999,2011,자양오피스텔(767-4),자양동,"1,000",광진구,8,60,19,30.24,767-4,11215,6
2004,2011,제이원하이텔,자양동,500,광진구,8,67,22,23.94,608-21,11215,7
2003,2011,글로벌시티,화양동,"2,500",광진구,8,50,8,20.61,49-12,11215,6
2002,2011,(302-24),화양동,"4,000",광진구,8,25,19,24.6,302-24,11215,5
1999,2011,화양타워,화양동,"1,500",광진구,8,70,20,44.39,110-37,11215,3
2003,2011,글로벌시티,화양동,"2,000",광진구,8,50,26,20.23,49-12,11215,6
2003,2011,좋은사람 좋은집,중곡동,"4,000",광진구,9,10,7,20.35,190-3,11215,6
2004,2011,비버리캐슬,중곡동,"4,000",광진구,9,20,8,22.8,41-33,11215,6
2003,2011,좋은사람 좋은집,중곡동,"5,000",광진구,9,0,22,20.72,190-3,11215,2
2004,2011,비버리캐슬,중곡동,"4,000",광진구,9,20,25,22.2,41-33,11215,5
2010,2011,아델리아 구의타워,구의동,"1,000",광진구,9,50,2,18.74,251-157,11215,6
2003,2011,센트럴빌,구의동,"7,500",광진구,9,0,3,32.19,253-19,11215,10
2003,2011,센트럴빌,구의동,"1,000",광진구,9,65,6,32.19,253-19,11215,7
2003,2011,신도브래뉴오피스텔,구의동,"1,000",광진구,9,65,7,32.17,251-34,11215,10
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,9,0,7,31.2,251-34,11215,5
2003,2011,신도브래뉴오피스텔,구의동,"1,000",광진구,9,70,10,32.17,251-34,11215,5
1997,2011,성지하이츠,구의동,"11,000",광진구,9,0,16,38.61,252-14,11215,10
2004,2011,베스트 트레드빌,구의동,"10,000",광진구,9,0,18,26.84,243-2,11215,4
2004,2011,베스트 트레드빌,구의동,"10,000",광진구,9,0,19,26.84,243-2,11215,12
2003,2011,센트럴빌,구의동,"9,000",광진구,9,10,20,32.19,253-19,11215,4
2003,2011,센트럴빌,구의동,"1,000",광진구,9,65,21,32.19,253-19,11215,6
2003,2011,와이엔 오피스텔,구의동,"9,500",광진구,9,0,24,25.16,218-15,11215,2
2002,2011,다성리버텔,구의동,"11,000",광진구,9,0,24,33.97,218-12,11215,8
2004,2011,베스트 트레드빌,구의동,"10,000",광진구,9,0,27,26.84,243-2,11215,11
2003,2011,센트럴빌,구의동,"2,000",광진구,9,65,30,32.19,253-19,11215,9
2005,2011,광장동 이노빌 오피스텔,광장동,"18,000",광진구,9,0,8,83,530-7,11215,10
2000,2011,(396-13),광장동,"23,000",광진구,9,0,16,95.26,396-13,11215,5
1999,2011,자양오피스텔(767-4),자양동,"1,000",광진구,9,55,28,30.24,767-4,11215,5
2004,2011,제이원하이텔,자양동,"1,000",광진구,9,65,30,23.94,608-21,11215,8
1999,2011,화양타워,화양동,"8,000",광진구,9,10,19,38.64,110-37,11215,3
1999,2011,화양타워,화양동,"1,000",광진구,9,80,30,49.2,110-37,11215,3
2004,2011,(283-15),능동,"4,000",광진구,10,30,11,25.6,283-15,11215,4
2003,2011,노블레스 빌,능동,"10,000",광진구,10,0,13,23.96,255-18,11215,4
2003,2011,센트럴빌,구의동,"1,000",광진구,10,60,4,32.19,253-19,11215,3
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,10,0,5,31.2,251-34,11215,8
2003,2011,센트럴빌,구의동,"11,000",광진구,10,0,21,32.19,253-19,11215,6
2010,2011,아델리아 구의타워,구의동,"2,000",광진구,10,43,22,30.83,251-157,11215,8
2006,2011,크레신타워3차,구의동,"10,000",광진구,10,0,22,26.91,246-14,11215,7
2003,2011,센트럴빌,구의동,"1,000",광진구,10,65,28,32.19,253-19,11215,9
2006,2011,현대13차폴라트리움,구의동,"2,000",광진구,10,100,29,50.4,199-23,11215,2
2003,2011,효성리버카운티,광장동,"8,000",광진구,10,0,10,27.8,108,11215,1
2005,2011,광장동 이노빌 오피스텔,광장동,"19,000",광진구,10,11,11,95.28,530-7,11215,5
2007,2011,더샵스타시티,자양동,"60,000",광진구,10,0,25,196.48,227-7,11215,11
2007,2011,더샵스타시티,자양동,"10,000",광진구,10,300,27,174.24,227-7,11215,11
2003,2011,글로벌시티,화양동,"3,000",광진구,10,45,4,20.61,49-12,11215,3
2004,2011,캠퍼니안,화양동,"9,000",광진구,10,0,11,42.42,93-3,11215,5
2005,2011,KCC파크타운,화양동,"13,000",광진구,10,0,12,25.79,527,11215,14
2003,2011,글로벌시티,화양동,"3,000",광진구,10,45,19,20.61,49-12,11215,5
2003,2011,글로벌시티,화양동,"2,500",광진구,10,50,24,20.61,49-12,11215,5
1999,2011,화양타워,화양동,"9,000",광진구,10,0,26,34.62,110-37,11215,5
2003,2011,평강오피스텔,구의동,"15,000",광진구,11,0,8,51,598-2,11215,5
2006,2011,크레신타워3차,구의동,"9,500",광진구,11,0,10,25.35,246-14,11215,7
2003,2011,신도브래뉴오피스텔,구의동,"9,000",광진구,11,0,10,36.86,251-34,11215,4
2003,2011,와이엔 오피스텔,구의동,"4,000",광진구,11,30,15,26.82,218-15,11215,6
2003,2011,신도브래뉴오피스텔,구의동,"10,000",광진구,11,0,15,32.17,251-34,11215,5
2003,2011,와이엔 오피스텔,구의동,"2,000",광진구,11,55,17,25.16,218-15,11215,2
1991,2011,(547-8),구의동,"7,000",광진구,11,0,21,33.06,547-8,11215,10
2003,2011,센트럴빌,구의동,500,광진구,11,60,22,32.19,253-19,11215,4
2003,2011,와이엔 오피스텔,구의동,"9,500",광진구,11,0,23,25.33,218-15,11215,3
2003,2011,센트럴빌,구의동,"11,000",광진구,11,0,26,32.19,253-19,11215,3
2000,2011,(219-17),구의동,"1,000",광진구,11,81,29,24.75,219-17,11215,6
2003,2011,효성리버카운티,광장동,"7,000",광진구,11,0,14,24.04,108,11215,6
2007,2011,더샵스타시티,자양동,"52,000",광진구,11,0,5,149.79,227-7,11215,17
2007,2011,더샵스타시티,자양동,"43,500",광진구,11,0,11,116.02,227-7,11215,4
2007,2011,더샵스타시티,자양동,"47,000",광진구,11,0,14,116.02,227-7,11215,18
2007,2011,더샵스타시티,자양동,"65,000",광진구,11,0,19,196.48,227-7,11215,17
2007,2011,더샵스타시티,자양동,"9,000",광진구,11,360,24,196.48,227-7,11215,16
2007,2011,더샵스타시티,자양동,"37,000",광진구,11,0,29,149.79,227-7,11215,18
2003,2011,중곡동 오피스텔,중곡동,"7,000",광진구,12,10,12,25.9,123-9,11215,2
2004,2011,비버리캐슬,중곡동,300,광진구,12,30,22,22.2,41-33,11215,5
2003,2011,중곡동 오피스텔,중곡동,"8,000",광진구,12,0,31,25.9,123-9,11215,5
2004,2011,(283-15),능동,"2,000",광진구,12,50,10,25.6,283-15,11215,5
1997,2011,성지하이츠,구의동,"9,500",광진구,12,0,6,38.61,252-14,11215,4
2003,2011,신도브래뉴오피스텔,구의동,"10,500",광진구,12,0,6,33.15,251-34,11215,7
2003,2011,센트럴빌,구의동,"9,000",광진구,12,10,7,32.19,253-19,11215,5
2006,2011,크레신타워3차,구의동,"1,000",광진구,12,65,10,25.35,246-14,11215,12
2001,2011,(199-14),구의동,"8,500",광진구,12,0,14,35.34,199-14,11215,4
2003,2011,와이엔 오피스텔,구의동,"2,000",광진구,12,50,17,25.76,218-15,11215,8
2003,2011,센트럴빌,구의동,"9,000",광진구,12,0,21,32.19,253-19,11215,10
2003,2011,센트럴빌,구의동,"8,000",광진구,12,0,28,32.19,253-19,11215,6
2003,2011,평강오피스텔,구의동,"8,500",광진구,12,0,28,25.56,598-2,11215,4
2000,2011,(219-17),구의동,"5,000",광진구,12,40,28,31.05,219-17,11215,5
2003,2011,센트럴빌,구의동,"2,500",광진구,12,50,30,32.19,253-19,11215,2
2005,2011,신성미소씨티,광장동,"8,500",광진구,12,10,8,46.36,125,11215,2
2007,2011,더샵스타시티,자양동,"30,000",광진구,12,120,7,116.02,227-7,11215,15
1999,2011,자양오피스텔(767-4),자양동,"6,000",광진구,12,0,29,30.24,767-4,11215,3
2006,2011,브라운스톤 화양,화양동,"18,000",광진구,12,0,5,59.53,21-2,11215,4
2005,2011,KCC파크타운,화양동,"5,000",광진구,12,45,14,25.79,527,11215,3
2005,2011,KCC파크타운,화양동,"12,000",광진구,12,0,20,25.79,527,11215,7
2003,2012,좋은사람 좋은집,중곡동,"5,000",광진구,1,0,10,20.72,190-3,11215,3
2003,2012,좋은사람 좋은집,중곡동,"5,000",광진구,1,0,11,20.35,190-3,11215,2
2003,2012,센트럴빌,구의동,"11,000",광진구,1,0,5,41.29,253-19,11215,2
2003,2012,신도브래뉴오피스텔,구의동,"3,000",광진구,1,45,9,31.2,251-34,11215,5
2003,2012,신도브래뉴오피스텔,구의동,"1,000",광진구,1,68,9,31.2,251-34,11215,4
2002,2012,다성리버텔,구의동,"2,000",광진구,1,70,11,34.88,218-12,11215,5
2002,2012,다성리버텔,구의동,"1,000",광진구,1,87,12,33.97,218-12,11215,9
2002,2012,다성리버텔,구의동,"5,000",광진구,1,50,12,33.97,218-12,11215,10
2003,2012,신도브래뉴오피스텔,구의동,"5,000",광진구,1,35,14,32.17,251-34,11215,3
2003,2012,센트럴빌,구의동,"5,000",광진구,1,43,16,32.19,253-19,11215,9
2006,2012,크레신타워3차,구의동,"10,000",광진구,1,0,18,26.91,246-14,11215,12
2003,2012,와이엔 오피스텔,구의동,"1,000",광진구,1,60,19,25.16,218-15,11215,7
2003,2012,센트럴빌,구의동,"1,000",광진구,1,70,19,32.19,253-19,11215,5
2003,2012,평강오피스텔,구의동,"16,000",광진구,1,0,21,51,598-2,11215,5
2003,2012,신도브래뉴오피스텔,구의동,"12,000",광진구,1,0,28,32.17,251-34,11215,7
2001,2012,(199-14),구의동,"8,500",광진구,1,0,30,30.78,199-14,11215,6
2005,2012,광장동 이노빌 오피스텔,광장동,"18,000",광진구,1,0,13,95.28,530-7,11215,4
