거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"50,000",2002,2010,영등포동,영등포푸르지오,1,3,84.84,647,11560,7
"47,500",2002,2010,영등포동,영등포푸르지오,1,7,84.908,647,11560,17
"50,500",2002,2010,영등포동,영등포푸르지오,1,9,79.777,647,11560,10
"35,250",2002,2010,영등포동,영등포푸르지오,1,12,59.912,647,11560,21
"31,800",2004,2010,영등포동,두산위브,1,14,59.8,649,11560,2
"43,500",2002,2010,영등포동,영등포푸르지오,1,16,79.777,647,11560,11
"49,000",2002,2010,영등포동,영등포푸르지오,1,18,79.777,647,11560,4
"39,250",2002,2010,영등포동,영등포푸르지오,1,18,59.912,647,11560,18
"32,000",2002,2010,영등포동,순영웰라이빌,1,20,84.88,648,11560,2
"42,000",2002,2010,영등포동,영등포푸르지오,1,20,73.133,647,11560,9
"33,400",2004,2010,영등포동,두산위브,1,20,59.8,649,11560,14
"50,800",2002,2010,영등포동,영등포푸르지오,1,20,84.908,647,11560,13
"35,800",2002,2010,영등포동,영등포푸르지오,1,20,59.912,647,11560,9
"33,250",2002,2010,영등포동,순영웰라이빌,1,22,84.88,648,11560,3
"44,200",2002,2010,영등포동,영등포푸르지오,1,22,79.777,647,11560,17
"38,400",2002,2010,영등포동,영등포푸르지오,1,23,59.912,647,11560,11
"36,000",2002,2010,영등포동,영등포푸르지오,1,26,59.912,647,11560,19
"45,200",2002,2010,영등포동,영등포푸르지오,1,27,73.133,647,11560,16
"38,000",2002,2010,영등포동,영등포푸르지오,1,27,59.912,647,11560,5
"40,500",2002,2010,영등포동,영등포푸르지오,1,30,79.777,647,11560,1
"30,000",1999,2010,영등포동5가,현대프라자,1,8,68.06,49-1,11560,4
"57,700",1998,2010,영등포동7가,경남,1,12,114.77,46-1,11560,13
"30,000",1998,2010,영등포동7가,경남,1,15,59.9,46-1,11560,20
"84,000",2004,2010,영등포동8가,당산푸르지오,1,6,133.34,91,11560,20
"73,550",2004,2010,영등포동8가,당산푸르지오,1,7,114.51,91,11560,9
"60,000",2004,2010,영등포동8가,당산푸르지오,1,14,84.98,91,11560,5
"33,500",1999,2010,영등포동8가,삼환,1,19,59.91,76-1,11560,13
"33,500",1999,2010,영등포동8가,삼환,1,27,59.91,76-1,11560,8
"58,500",2004,2010,영등포동8가,당산푸르지오,1,30,84.98,91,11560,22
"125,000",2005,2010,여의도동,롯데캐슬엠파이어,1,6,156.66,36,11560,27
"88,500",1977,2010,여의도동,진주,1,7,94.31,54,11560,10
"142,000",1971,2010,여의도동,시범,1,8,156.99,50,11560,11
"70,500",1971,2010,여의도동,시범,1,8,60.96,50,11560,2
"64,800",1977,2010,여의도동,목화,1,9,49.75,30,11560,7
"87,000",1976,2010,여의도동,공작,1,9,93.06,21-2,11560,5
"89,000",1977,2010,여의도동,목화,1,9,89.92,30,11560,6
"102,000",1974,2010,여의도동,은하,1,11,121.52,52,11560,1
"93,200",1975,2010,여의도동,한양,1,12,109.42,42,11560,9
"74,000",1977,2010,여의도동,진주,1,13,63.83,54,11560,11
"92,000",1975,2010,여의도동,한양,1,15,105.72,42,11560,6
"88,300",1971,2010,여의도동,시범,1,16,79.24,50,11560,10
"89,000",1977,2010,여의도동,진주,1,16,94.31,54,11560,3
"120,000",1971,2010,여의도동,시범,1,16,118.12,50,11560,5
"74,500",1971,2010,여의도동,시범,1,16,60.96,50,11560,7
"118,000",1971,2010,여의도동,시범,1,18,118.12,50,11560,3
"123,500",1975,2010,여의도동,한양,1,19,149.52,42,11560,4
"145,000",1971,2010,여의도동,시범,1,19,156.99,50,11560,2
"145,000",1975,2010,여의도동,한양,1,20,193.03,42,11560,3
"130,000",1975,2010,여의도동,삼부,1,20,135.8,30-2,11560,11
"100,000",1974,2010,여의도동,은하,1,23,121.52,52,11560,1
"93,800",1977,2010,여의도동,화랑,1,23,95.8,40-4,11560,3
"110,000",1978,2010,여의도동,광장,1,25,103.17,28,11560,4
"89,600",1976,2010,여의도동,공작,1,25,91.97,21-2,11560,12
"92,000",1977,2010,여의도동,목화,1,25,89.92,30,11560,12
"135,000",2003,2010,여의도동,리첸시아,1,26,146.68,61,11560,12
"77,700",1977,2010,여의도동,진주,1,27,63.83,54,11560,11
"48,700",1997,2010,당산동1가,진로,1,7,84.87,16-1,11560,12
"47,000",1997,2010,당산동1가,진로,1,7,84.87,16-1,11560,7
"39,000",2008,2010,당산동1가,신동아파밀리에,1,7,59.4,457,11560,11
"33,500",1997,2010,당산동1가,진로,1,7,59.4,16-1,11560,5
"35,350",1997,2010,당산동1가,진로,1,26,59.4,16-1,11560,12
"33,500",1997,2010,당산동1가,진로,1,29,59.4,16-1,11560,14
"13,000",1999,2010,당산동2가,대우,1,7,31.73,16-1,11560,10
"14,300",1999,2010,당산동2가,대우,1,9,31.73,16-1,11560,4
"44,400",1994,2010,당산동2가,현대,1,14,82.77,164,11560,6
"46,300",1994,2010,당산동2가,현대,1,16,82.77,164,11560,18
"39,300",1994,2010,당산동2가,현대,1,17,82.77,164,11560,2
"20,000",1999,2010,당산동2가,대우,1,18,45.55,16-1,11560,16
"14,650",1999,2010,당산동2가,대우,1,20,31.73,16-1,11560,7
"41,700",1994,2010,당산동2가,현대,1,21,82.77,164,11560,2
"15,000",1999,2010,당산동2가,대우,1,22,31.73,16-1,11560,14
"21,000",1999,2010,당산동2가,대우,1,22,45.55,16-1,11560,13
"30,500",1979,2010,당산동3가,삼익,1,15,60.83,394,11560,5
"34,300",1986,2010,당산동3가,한양,1,18,73.87,2-6,11560,7
"37,800",1986,2010,당산동3가,한양,1,18,84.93,2-6,11560,1
"40,200",1986,2010,당산동3가,한양,1,23,84.93,2-6,11560,14
"60,000",2003,2010,당산동3가,동부센트레빌,1,24,114.96,561,11560,1
"33,250",1988,2010,당산동4가,현대3,1,3,59.26,88,11560,12
"39,500",2000,2010,당산동4가,현대5,1,6,59.85,30-1,11560,22
"36,000",2000,2010,당산동4가,현대5,1,9,59.37,30-1,11560,4
"40,000",2000,2010,당산동4가,현대5,1,9,59.55,30-1,11560,8
"38,500",2000,2010,당산동4가,현대5,1,10,59.75,30-1,11560,11
"28,000",1986,2010,당산동4가,현대2,1,11,62.6,92,11560,8
"38,400",2000,2010,당산동4가,현대5,1,11,59.75,30-1,11560,3
"41,900",2000,2010,당산동4가,현대5,1,11,59.75,30-1,11560,13
"37,200",2000,2010,당산동4가,현대5,1,13,59.85,30-1,11560,12
"37,900",2002,2010,당산동4가,금호,1,15,59.91,95,11560,10
"37,000",1988,2010,당산동4가,현대3,1,16,73.27,88,11560,10
"44,800",1988,2010,당산동4가,현대3,1,16,84.5,88,11560,15
"38,300",2000,2010,당산동4가,현대5,1,16,59.37,30-1,11560,10
"35,400",1997,2010,당산동4가,당산2차삼성,1,16,59.76,94-1,11560,17
"41,000",1999,2010,당산동4가,한강아파트,1,18,84.98,29,11560,16
"54,500",2002,2010,당산동4가,금호,1,22,84.25,95,11560,17
"35,200",1983,2010,당산동4가,유원제일,1,26,51.48,91,11560,3
"51,300",2002,2010,당산동4가,금호,1,26,84.25,95,11560,13
"48,000",1997,2010,당산동4가,당산2차삼성,1,27,84.93,94-1,11560,18
"58,000",1984,2010,당산동5가,유원2,1,8,84.6,7-2,11560,3
"60,000",2001,2010,당산동5가,당산2효성타운,1,11,84.38,13,11560,11
"54,000",1983,2010,당산동5가,현대1,1,12,84.84,4-2,11560,11
"39,500",1999,2010,당산동5가,효성1,1,14,59.85,12,11560,8
"90,500",2003,2010,당산동5가,삼성래미안,1,18,115.78,42,11560,18
"84,250",2003,2010,당산동5가,삼성래미안,1,23,115.78,42,11560,21
"39,200",1999,2010,당산동5가,효성1,1,23,59.85,12,11560,13
"76,000",1984,2010,당산동5가,유원2,1,23,123.76,7-2,11560,8
"46,000",1997,2010,당산동5가,성원,1,25,84.96,40,11560,13
"57,800",2001,2010,당산동5가,당산2효성타운,1,28,84.38,13,11560,11
"74,000",1983,2010,당산동5가,상아,1,28,116.7,4-13,11560,10
"40,900",1999,2010,당산동5가,효성1,1,30,59.85,12,11560,7
"37,800",1995,2010,당산동,래미안당산1차,1,1,59.97,374,11560,11
"36,000",2002,2010,당산동,강변래미안,1,4,55.91,376,11560,1
"28,000",2005,2010,당산동,드림시드,1,14,62.62,171-19,11560,7
"54,000",2002,2010,당산동,강변래미안,1,15,79.43,376,11560,12
"16,000",1997,2010,도림동,도림청구,1,6,37.63,221-1,11560,9
"82,000",2003,2010,문래동3가,문래힐스테이트,1,4,137.82,94,11560,17
"69,750",2001,2010,문래동3가,문래자이,1,12,84.98,54,11560,10
"47,000",1988,2010,문래동3가,한신,1,12,79.46,77-2,11560,9
"71,700",2003,2010,문래동3가,문래힐스테이트,1,16,119.47,94,11560,2
"71,000",2003,2010,문래동3가,문래힐스테이트,1,16,119.47,94,11560,4
"90,500",2001,2010,문래동3가,문래자이,1,18,121.53,54,11560,17
"70,500",2001,2010,문래동3가,문래자이,1,18,84.98,54,11560,19
"81,000",2003,2010,문래동3가,문래힐스테이트,1,18,137.82,94,11560,4
"76,500",2003,2010,문래동3가,문래힐스테이트,1,22,119.47,94,11560,14
"64,500",2001,2010,문래동3가,문래자이,1,23,84.98,54,11560,19
"61,500",2001,2010,문래동3가,문래자이,1,23,84.98,54,11560,3
"76,000",2003,2010,문래동3가,문래힐스테이트,1,25,119.47,94,11560,8
"29,000",1998,2010,문래동3가,문래우정,1,25,59.76,78,11560,5
"22,500",2001,2010,문래동4가,문래동삼환,1,22,59.85,43,11560,12
"33,000",2001,2010,문래동4가,문래동삼환,1,26,59.85,43,11560,17
"29,000",1988,2010,문래동5가,문래 두산위브,1,15,65.46,14,11560,11
"30,000",1988,2010,문래동5가,문래 두산위브,1,21,65.46,14,11560,11
"28,500",1987,2010,문래동6가,현대2,1,6,59.31,45,11560,14
"28,400",1996,2010,문래동6가,미원,1,16,59.4,54,11560,12
"22,750",1987,2010,문래동6가,현대2,1,23,41.04,45,11560,14
"20,500",1987,2010,문래동6가,현대2,1,23,41.04,45,11560,3
"22,800",1987,2010,문래동6가,현대2,1,25,41.04,45,11560,10
"37,700",1991,2010,문래동6가,유원문래,1,30,84.98,11-1,11560,12
"32,200",1982,2010,양평동1가,신동아,1,21,50.81,20,11560,2
"40,300",1982,2010,양평동1가,신동아,1,23,61.59,20,11560,15
"32,500",1982,2010,양평동1가,신동아,1,23,50.81,20,11560,7
"29,900",1996,2010,양평동1가,한신공영,1,23,59.98,14-1,11560,8
"30,800",2005,2010,양평동1가,이너스삼성,1,28,71.2,269,11560,11
"23,000",1990,2010,양평동2가,벽산,1,2,51.24,23,11560,15
"31,200",1998,2010,양평동2가,양평삼성,1,5,59.4,38-1,11560,15
"25,500",1999,2010,양평동2가,상록수,1,9,59.67,45,11560,7
"31,200",1998,2010,양평동2가,양평삼성,1,16,59.4,38-1,11560,21
"27,000",1996,2010,양평동2가,신벽산,1,20,59.85,39-1,11560,7
"27,000",1996,2010,양평동2가,신벽산,1,25,59.85,39-1,11560,15
"32,500",2000,2010,양평동3가,삼천리,1,5,59.67,24,11560,13
"34,500",2000,2010,양평동3가,현대6,1,5,59.98,101,11560,11
"63,500",1999,2010,양평동3가,거성파스텔,1,7,131.34,90-1,11560,17
"35,900",2000,2010,양평동3가,현대6,1,9,59.98,101,11560,25
"33,500",2000,2010,양평동3가,현대6,1,10,59.98,101,11560,4
"35,900",2000,2010,양평동3가,현대6,1,10,59.98,101,11560,22
"38,400",1990,2010,양평동3가,현대2,1,16,80.92,79-4,11560,6
"37,250",1998,2010,양평동3가,삼호,1,17,84.92,66,11560,20
"41,500",2004,2010,양평동3가,우림루미아트,1,18,84.91,102,11560,10
"42,500",2004,2010,양평동3가,우림루미아트,1,23,84.87,102,11560,16
"39,400",1991,2010,양평동3가,현대3차,1,23,84.63,79,11560,13
"33,400",1999,2010,양평동3가,거성파스텔,1,23,59.96,90-1,11560,9
"33,500",1999,2010,양평동3가,거성파스텔,1,25,59.96,90-1,11560,6
"34,000",2000,2010,양평동3가,현대6,1,30,59.98,101,11560,20
"33,750",2000,2010,양평동3가,현대6,1,30,59.98,101,11560,4
"36,000",2000,2010,양평동4가,삼호한숲,1,13,74.31,94,11560,8
"38,700",1993,2010,양평동4가,성원,1,13,84.66,12,11560,2
"41,000",1993,2010,양평동4가,성원,1,16,84.66,12,11560,11
"40,000",1993,2010,양평동4가,성원,1,18,84.66,12,11560,17
"37,000",2000,2010,양평동4가,삼호한숲,1,26,74.31,94,11560,12
"34,200",1996,2010,양평동5가,한신,1,10,59.94,76,11560,18
"30,800",1996,2010,양평동5가,한신,1,11,59.94,76,11560,15
"33,900",1996,2010,양평동5가,한신,1,14,59.94,76,11560,10
"52,000",1996,2010,양평동5가,한신,1,16,84.87,76,11560,19
"35,100",1996,2010,양평동5가,한신,1,16,59.94,76,11560,17
"33,000",1998,2010,양평동5가,동보,1,17,59.4,9-1,11560,5
"47,000",1996,2010,양평동5가,한신,1,22,84.87,76,11560,7
"32,800",1996,2010,양평동5가,한신,1,22,59.94,76,11560,7
"49,000",1996,2010,양평동5가,한신,1,28,84.87,76,11560,11
"25,500",1999,2010,양평동6가,한솔,1,28,59.28,99,11560,9
"37,900",2005,2010,신길동,보라매경남아너스빌,1,1,59.78,4780,11560,12
"58,500",2005,2010,신길동,보라매두산위브,1,5,136.74,4497,11560,1
"32,700",2003,2010,신길동,대성유니드,1,11,82.26,389,11560,5
"29,100",1986,2010,신길동,우성2,1,12,53.24,4518,11560,15
"34,000",1997,2010,신길동,삼환,1,13,59.53,897-1,11560,4
"30,000",1986,2010,신길동,우성1,1,15,64.4,365,11560,7
"34,400",1997,2010,신길동,삼환,1,16,59.53,897-1,11560,12
"46,500",2005,2010,신길동,보라매경남아너스빌,1,16,84.79,4780,11560,18
"30,500",1997,2010,신길동,한성,1,18,59.87,769-1,11560,21
"44,700",2005,2010,신길동,보라매두산위브,1,18,84.96,4497,11560,5
"21,000",1987,2010,신길동,삼두,1,19,43.65,2-3,11560,1
"32,800",1999,2010,신길동,경남,1,20,59.96,67-1,11560,6
"34,000",1997,2010,신길동,삼환,1,20,59.53,897-1,11560,16
"23,500",1974,2010,신길동,남서울,1,22,49.59,3002,11560,5
"30,500",1997,2010,신길동,삼환,1,22,59.53,897-1,11560,2
"34,000",1997,2010,신길동,삼환,1,22,59.53,897-1,11560,10
"46,500",2005,2010,신길동,보라매경남아너스빌,1,22,84.79,4780,11560,3
"41,200",1986,2010,신길동,우성1,1,22,83.64,365,11560,6
"38,500",2005,2010,신길동,보라매경남아너스빌,1,23,59.78,4780,11560,17
"46,700",2005,2010,신길동,보라매경남아너스빌,1,23,84.79,4780,11560,15
"32,000",1986,2010,신길동,우성1,1,25,64.4,365,11560,5
"31,000",2001,2010,신길동,삼성래미안,1,27,59.33,4934,11560,16
"51,500",2001,2010,신길동,삼성래미안,1,27,114.87,4934,11560,6
"30,000",2006,2010,신길동,하늘애,1,28,84.42,1119,11560,3
"21,000",1987,2010,신길동,삼두,1,29,43.65,2-3,11560,2
"33,000",1997,2010,신길동,삼환,1,30,59.53,897-1,11560,15
"31,500",2001,2010,대림동,문영칸타빌레,1,6,84.89,1061,11560,3
"41,000",2001,2010,대림동,문영칸타빌레,1,6,120.18,1061,11560,3
"28,000",1998,2010,대림동,코오롱,1,9,59.94,607-1,11560,1
"21,400",1997,2010,대림동,현대3,1,9,43.92,608-1,11560,7
"22,000",1997,2010,대림동,현대3,1,12,43.92,608-1,11560,21
"31,000",1997,2010,대림동,현대3,1,12,59.83,608-1,11560,6
"33,700",1992,2010,대림동,현대1,1,14,84.75,785-1,11560,7
"32,800",1995,2010,대림동,성원(650),1,14,84.66,650,11560,15
"27,500",1995,2010,대림동,성원(650),1,14,59.63,650,11560,18
"40,000",1997,2010,대림동,현대3,1,15,84.89,608-1,11560,15
"39,000",1985,2010,대림동,우성1,1,16,83.59,762-1,11560,12
"29,200",1987,2010,대림동,신동아,1,17,67.41,777-1,11560,11
"23,500",1985,2010,대림동,우성1,1,20,52.07,762-1,11560,11
"35,500",1992,2010,대림동,현대2,1,20,84.74,785,11560,9
"32,400",1995,2010,대림동,성원(650),1,21,84.66,650,11560,11
"35,000",1992,2010,대림동,현대1,1,22,84.75,785-1,11560,2
"22,000",1997,2010,대림동,현대3,1,23,43.92,608-1,11560,11
"33,000",1997,2010,대림동,현대3,1,26,59.83,608-1,11560,12
"36,700",2005,2010,대림동,갑을명가,1,27,84.95,1119,11560,12
"32,400",1987,2010,대림동,신동아,1,27,84.85,777-1,11560,1
"33,000",1998,2010,대림동,코오롱,1,28,59.94,607-1,11560,13
"33,000",1995,2010,대림동,성원(650),1,28,84.66,650,11560,11
"18,000",1997,2010,대림동,현대3,1,28,43.92,608-1,11560,2
"63,800",1998,2010,대림동,현대3,1,29,140.54,608-1,11560,21
"36,000",1992,2010,대림동,현대1,1,29,84.75,785-1,11560,19
"43,800",2002,2010,영등포동,영등포푸르지오,2,3,73.133,647,11560,10
"43,500",2002,2010,영등포동,영등포푸르지오,2,10,73.133,647,11560,9
"44,900",2002,2010,영등포동,영등포푸르지오,2,11,73.133,647,11560,13
"34,600",2004,2010,영등포동,두산위브,2,18,59.8,649,11560,6
"42,000",2002,2010,영등포동,영등포푸르지오,2,18,73.133,647,11560,14
"50,000",2002,2010,영등포동,영등포푸르지오,2,18,84.908,647,11560,6
"51,000",2002,2010,영등포동,영등포푸르지오,2,20,84.84,647,11560,22
"45,800",2002,2010,영등포동,영등포푸르지오,2,22,73.133,647,11560,18
"43,500",2002,2010,영등포동,영등포푸르지오,2,22,73.133,647,11560,11
"48,300",2002,2010,영등포동,영등포푸르지오,2,23,84.908,647,11560,8
"42,400",2002,2010,영등포동,영등포푸르지오,2,23,79.777,647,11560,2
"41,000",2002,2010,영등포동,영등포푸르지오,2,23,73.133,647,11560,5
"36,000",2002,2010,영등포동,영등포푸르지오,2,23,59.912,647,11560,2
"48,900",2002,2010,영등포동,영등포푸르지오,2,23,84.908,647,11560,20
"44,800",2002,2010,영등포동,영등포푸르지오,2,24,73.133,647,11560,20
"44,500",2002,2010,영등포동,영등포푸르지오,2,25,73.133,647,11560,20
"8,800",1971,2010,영등포동5가,동남,2,22,32.63,24,11560,8
"58,000",1998,2010,영등포동7가,경남,2,3,114.77,46-1,11560,8
"40,000",2004,2010,영등포동7가,브라운스톤,2,8,84.9,202,11560,10
"31,500",1998,2010,영등포동7가,경남,2,9,59.9,46-1,11560,14
"40,000",2004,2010,영등포동7가,브라운스톤,2,20,84.9,202,11560,3
"34,300",1999,2010,영등포동8가,삼환,2,12,59.91,76-1,11560,15
"54,800",2004,2010,영등포동8가,당산푸르지오,2,12,79.33,91,11560,23
"34,300",1999,2010,영등포동8가,삼환,2,20,59.91,76-1,11560,8
"46,000",1999,2010,영등포동8가,삼환,2,26,84.87,76-1,11560,16
"123,000",1976,2010,여의도동,수정,2,4,150.65,32,11560,9
"75,300",1971,2010,여의도동,시범,2,4,60.96,50,11560,4
"103,000",1977,2010,여의도동,화랑,2,4,104.5,40-4,11560,5
"89,000",1977,2010,여의도동,진주,2,5,94.31,54,11560,3
"106,500",1974,2010,여의도동,삼익,2,10,122.78,51,11560,10
"116,000",1971,2010,여의도동,시범,2,11,118.12,50,11560,7
"104,500",1974,2010,여의도동,은하,2,11,121.52,52,11560,7
"166,000",2008,2010,여의도동,여의도자이,2,12,148.94,47,11560,24
"110,000",2003,2010,여의도동,리첸시아,2,17,147.71,61,11560,34
"72,000",1994,2010,여의도동,콤비빌딩,2,19,122.4,61-4,11560,22
"172,500",2008,2010,여의도동,여의도자이,2,19,148.94,47,11560,36
"121,000",1976,2010,여의도동,공작,2,23,126.02,21-2,11560,4
"99,000",1976,2010,여의도동,공작,2,23,93.06,21-2,11560,12
"98,000",1975,2010,여의도동,삼부,2,24,92.13,30-2,11560,7
"60,700",1977,2010,여의도동,진주,2,24,48.26,54,11560,10
"235,000",1976,2010,여의도동,서울,2,25,200.27,21-1,11560,3
"227,000",1976,2010,여의도동,서울,2,26,200.27,21-1,11560,12
"43,500",1997,2010,당산동1가,진로,2,18,84.87,16-1,11560,3
"34,600",1997,2010,당산동1가,진로,2,22,59.4,16-1,11560,21
"39,700",1994,2010,당산동2가,현대,2,2,82.77,164,11560,1
"14,300",1999,2010,당산동2가,대우,2,3,31.73,16-1,11560,19
"14,930",1999,2010,당산동2가,대우,2,5,31.73,16-1,11560,19
"45,000",1994,2010,당산동2가,현대,2,9,82.77,164,11560,13
"14,300",1999,2010,당산동2가,대우,2,10,31.73,16-1,11560,14
"42,250",1994,2010,당산동2가,현대,2,11,82.77,164,11560,20
"45,800",1994,2010,당산동2가,현대,2,12,82.77,164,11560,7
"19,300",1999,2010,당산동2가,대우,2,16,45.55,16-1,11560,14
"14,650",1999,2010,당산동2가,대우,2,16,31.73,16-1,11560,16
"14,200",1999,2010,당산동2가,대우,2,17,31.73,16-1,11560,4
"15,000",1999,2010,당산동2가,대우,2,17,31.73,16-1,11560,19
"40,000",1994,2010,당산동2가,현대,2,19,82.77,164,11560,19
"40,300",1994,2010,당산동2가,현대,2,21,82.77,164,11560,2
"14,700",1999,2010,당산동2가,대우,2,22,32.62,16-1,11560,22
"14,650",1999,2010,당산동2가,대우,2,24,31.73,16-1,11560,7
"27,500",1978,2010,당산동3가,평화,2,4,52.53,559,11560,8
"23,000",1978,2010,당산동3가,평화,2,4,52.53,559,11560,9
"45,000",2009,2010,당산동3가,당산동2차어울림,2,4,84.8711,563,11560,4
"40,000",1986,2010,당산동3가,한양,2,19,84.93,2-6,11560,14
"34,200",1986,2010,당산동3가,한양,2,23,73.87,2-6,11560,10
"42,500",2000,2010,당산동4가,현대5,2,1,59.75,30-1,11560,9
"36,000",1997,2010,당산동4가,당산2차삼성,2,3,59.76,94-1,11560,22
"55,000",2000,2010,당산동4가,현대5,2,3,84.69,30-1,11560,12
"35,500",1997,2010,당산동4가,당산2차삼성,2,3,59.76,94-1,11560,23
"35,400",1997,2010,당산동4가,당산2차삼성,2,5,59.76,94-1,11560,8
"53,500",2002,2010,당산동4가,금호,2,6,84.25,95,11560,16
"50,000",2002,2010,당산동4가,금호,2,7,84.25,95,11560,5
"44,000",1999,2010,당산동4가,한강아파트,2,9,84.98,29,11560,17
"48,000",1997,2010,당산동4가,당산2차삼성,2,12,84.93,94-1,11560,13
"38,500",1988,2010,당산동4가,현대3,2,18,73.27,88,11560,9
"36,300",1997,2010,당산동4가,당산2차삼성,2,25,59.76,94-1,11560,17
"42,500",1988,2010,당산동4가,현대3,2,26,84.5,88,11560,13
"45,000",1983,2010,당산동5가,상아,2,1,58.37,4-13,11560,6
"79,500",2003,2010,당산동5가,삼성래미안,2,4,97.27,42,11560,17
"57,000",1984,2010,당산동5가,유원2,2,5,84.6,7-2,11560,2
"77,000",1984,2010,당산동5가,유원2,2,5,145.68,7-2,11560,4
"70,500",2003,2010,당산동5가,삼성래미안,2,5,84.94,42,11560,22
"34,000",1997,2010,당산동5가,성원,2,6,59.94,40,11560,5
"87,000",2003,2010,당산동5가,삼성래미안,2,6,115.78,42,11560,14
"62,000",2001,2010,당산동5가,당산2효성타운,2,7,84.38,13,11560,10
"44,500",2002,2010,당산동5가,반도보라빌,2,12,84.58,41,11560,4
"46,000",1983,2010,당산동5가,상아,2,12,58.37,4-13,11560,1
"72,000",2003,2010,당산동5가,삼성래미안,2,16,84.94,42,11560,19
"107,000",2003,2010,당산동5가,삼성래미안,2,23,161.08,42,11560,11
"41,000",2002,2010,당산동5가,반도보라빌,2,23,74.76,41,11560,4
"80,000",1984,2010,당산동5가,유원2,2,23,145.68,7-2,11560,3
"41,600",2002,2010,당산동,강변래미안,2,4,55.91,376,11560,13
"53,750",2002,2010,당산동,강변래미안,2,10,79.43,376,11560,18
"57,000",2002,2010,당산동,강변래미안,2,16,108.15,376,11560,1
"25,400",2005,2010,당산동,드림시드,2,18,64.02,171-19,11560,2
"36,000",2005,2010,당산동,성재아이캐슬,2,25,84.26,121-136,11560,7
"14,500",1997,2010,도림동,도림청구,2,2,37.81,221-1,11560,3
"15,400",1997,2010,도림동,도림청구,2,8,37.81,221-1,11560,4
"89,000",2001,2010,문래동3가,문래자이,2,3,121.53,54,11560,23
"64,500",2001,2010,문래동3가,문래자이,2,3,84.98,54,11560,12
"57,000",1998,2010,문래동3가,문래건영,2,3,114.72,93-1,11560,8
"90,000",2001,2010,문래동3가,문래자이,2,9,121.53,54,11560,11
"48,000",2004,2010,문래동3가,문래동동원데자뷰,2,11,84.96,95,11560,11
"45,000",1998,2010,문래동3가,문래건영,2,22,84.87,93-1,11560,8
"43,000",1998,2010,문래동3가,문래건영,2,23,84.87,93-1,11560,6
"61,000",2003,2010,문래동3가,문래힐스테이트,2,27,84.92,94,11560,12
"29,300",2000,2010,문래동5가,문래대림,2,8,59.96,1,11560,13
"28,900",1988,2010,문래동5가,문래 두산위브,2,21,65.46,14,11560,4
"37,800",1984,2010,문래동5가,진주,2,26,83.72,22,11560,8
"33,000",1986,2010,문래동6가,현대1,2,2,64.38,46,11560,15
"38,000",1997,2010,문래동6가,현대6,2,5,84.72,55-1,11560,3
"37,300",1991,2010,문래동6가,유원문래,2,6,84.98,11-1,11560,5
"45,000",1998,2010,문래동6가,대원,2,9,106.5,47-1,11560,5
"30,500",1986,2010,문래동6가,현대1,2,18,64.38,46,11560,14
"37,200",1998,2010,문래동6가,대원,2,26,84.78,47-1,11560,10
"23,500",1987,2010,문래동6가,현대2,2,27,41.04,45,11560,11
"33,200",1982,2010,양평동1가,신동아,2,13,50.81,20,11560,12
"31,300",1982,2010,양평동1가,신동아,2,17,50.81,20,11560,9
"44,500",1998,2010,양평동2가,양평삼성,2,2,84.69,38-1,11560,19
"33,900",1998,2010,양평동2가,양평삼성,2,9,59.4,38-1,11560,21
"37,800",1996,2010,양평동2가,신벽산,2,23,84.97,39-1,11560,10
"44,500",2000,2010,양평동3가,현대6,2,1,84.94,101,11560,10
"43,200",2004,2010,양평동3가,우림루미아트,2,5,84.87,102,11560,7
"45,900",1999,2010,양평동3가,거성파스텔,2,9,84.99,90-1,11560,19
"35,000",2000,2010,양평동3가,현대6,2,9,59.98,101,11560,10
"43,900",2000,2010,양평동3가,삼천리,2,9,123.58,24,11560,1
"62,900",1999,2010,양평동3가,거성파스텔,2,11,131.34,90-1,11560,19
"47,800",2000,2010,양평동3가,현대6,2,20,84.94,101,11560,22
"42,500",2000,2010,양평동3가,현대6,2,20,84.94,101,11560,4
"34,000",2000,2010,양평동3가,현대6,2,21,59.98,101,11560,3
"64,000",1999,2010,양평동3가,거성파스텔,2,21,131.34,90-1,11560,15
"28,400",1998,2010,양평동3가,양평경남,2,24,59.9,55-1,11560,17
"36,550",1990,2010,양평동3가,현대2,2,26,80.92,79-4,11560,3
"35,300",2000,2010,양평동3가,현대6,2,27,59.98,101,11560,10
"31,200",1991,2010,양평동3가,현대3차,2,27,71.5,79,11560,13
"31,500",2006,2010,양평동4가,에이스리버티움,2,1,59.6718,324,11560,8
"40,100",1993,2010,양평동4가,성원,2,8,84.66,12,11560,9
"45,000",2006,2010,양평동4가,에이스리버티움,2,9,83.6179,324,11560,12
"35,000",1996,2010,양평동5가,한신,2,13,59.94,76,11560,13
"32,500",1996,2010,양평동5가,한신,2,20,59.94,76,11560,15
"48,800",1996,2010,양평동5가,한신,2,23,84.87,76,11560,11
"49,500",1996,2010,양평동5가,한신,2,24,84.87,76,11560,12
"47,800",1996,2010,양평동5가,한신,2,25,84.87,76,11560,5
"26,000",2000,2010,양평동6가,동양,2,3,59.86,100,11560,9
"40,000",2000,2010,양평동6가,동양,2,20,84.85,100,11560,9
"56,500",1997,2010,신길동,한성,2,1,134.33,769-1,11560,3
